epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,92.89108760867066,86.53214292144776,86.65989884185791,96.58104328918456,96.74047134399414,98.44372494506835,-9.097214671611786,-6.907383541107178,-12.087936730384827,-12.480272113323212,-12.36196206831932,77.14126292549768,58.697067366706,59.0963672708582,87.78845228972258,88.82778450294778,93.78487933123553,-3.9416888289981418,-3.038711233271493,-9.489328887727526,-10.080808372409255,-10.843322027612615
1,55.50534732360706,32.98542058181763,35.825604732513426,64.20929111480713,68.5895735321045,79.8658646697998,-1.1214702492952346,-0.8393520518541336,-5.71580860042572,-6.560085576295853,-8.321239295244217,41.36710683048659,28.920236675827592,31.981938627031113,39.81067835843122,47.49218954863372,64.36980215708415,-0.4148566871881485,-0.27319495545493233,-1.9352329847989258,-2.888814370941233,-5.119214768762942
2,32.153547638971936,27.57489846420288,30.737595901489257,29.41479632949829,32.87473502349854,46.92155766677856,-0.3961434057950973,-0.2854281488656998,-0.6974344017505646,-1.1095408246517182,-2.654794441461563,28.112039987267917,26.419456994092023,30.545149361645734,27.743718129617196,28.02842587011832,34.226332911738645,-0.3738499007843159,-0.3302042854053003,-0.39948411451445687,-0.45854200422763824,-1.0917429040979456
3,26.940743409541817,26.074693153381347,30.116706687927245,27.30513091659546,27.71716088485718,30.55032179260254,-0.36707536375522615,-0.306416175365448,-0.40131427240371703,-0.41266783654689787,-0.6115343010425568,27.259320646515903,26.430830725917108,30.57708607779609,27.594423170442933,28.024909920162624,30.033659387517858,-0.4022645089361403,-0.3559244104005672,-0.44409306678507066,-0.45310876656461646,-0.47854672261962183
4,26.687067879745552,25.969181529998778,29.94036865234375,27.105754497528075,27.553928722381592,29.461141567230225,-0.3844249075651169,-0.32498075926303865,-0.4267906732559204,-0.4303357757329941,-0.42496067702770235,27.290379969552223,26.414663579728867,30.545040642773664,27.605619660130255,28.03827087967484,29.9759133833426,-0.37635275114465644,-0.3327022205900263,-0.4225897154322377,-0.4352813567276354,-0.4280488010909822
5,26.75869933255939,26.01678811645508,29.877630214691163,27.267665802001954,27.775185634613038,29.85610329437256,-0.3741462091207504,-0.3172225387096405,-0.41736305952072145,-0.42213807463645936,-0.4092655771970749,27.25400480611885,26.409388612817835,30.54515995802703,27.594352457258438,28.02736919897574,29.972818356973153,-0.3870483145669655,-0.33343845826608165,-0.44401208007777176,-0.4573010962318491,-0.44588237117837975
6,26.324163449590372,25.757494382858276,29.767880756378172,26.98370004081726,27.46140545654297,29.462515560150145,-0.3456435830593109,-0.2937271407842636,-0.38426986074447633,-0.3883098269701004,-0.3773466058969498,24.277707403642175,23.821704705556233,29.094132352758336,24.455848040404142,24.7591298951043,26.555044880619757,-0.2201361451987867,-0.23258031849507932,-0.23797248469458687,-0.24276446965005663,-0.24541063772307503
7,20.30788811944625,19.405943155288696,24.09028971672058,20.532945537567137,21.070138511657714,23.181696477890014,0.12615571165084838,0.07875513827800751,0.11752841293811798,0.10858411991596222,0.07897302639484406,20.141753399007868,19.11125244034661,23.594441811243694,20.262697873292147,20.738437749721385,22.59930455243146,0.1955766076291049,0.13918409965656423,0.20398461432368667,0.19806692666477627,0.18749431879432113
8,18.93919138739291,17.83494770050049,21.9676688747406,19.135488748550415,19.665074171066284,21.72653316307068,0.20786714708805085,0.15131553018093108,0.20503194797039032,0.19728516376018523,0.16926886439323424,19.191498890193753,18.087535222371418,22.287035677168106,19.373451162267614,19.938740650812786,21.861925619619864,0.25037743979030186,0.19043183933805535,0.25566951985712405,0.2443355901373757,0.22636412801565947
9,17.643955024230795,16.55845621871948,20.93080464744568,17.82023250579834,18.328269205093385,20.319419984817504,0.288700346827507,0.21031260335445404,0.2934498221874237,0.286478488445282,0.2584319895505905,17.46241410048978,16.292313425629228,20.70842875374688,17.641095028983223,18.138742985548795,20.217637017921167,0.28035820303139863,0.1935601736660357,0.2969708542029063,0.2914151714907752,0.2650751217647835
