epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,109.66212226149875,121.46484735107421,122.98760963439942,107.57851605224609,103.74405834960938,96.85496502685547,-39.37443575334549,-39.516712918758394,-34.452654510736465,-33.05147974538803,-30.155064040660857,103.93377725307812,115.16094455012569,116.51686774359808,102.33507170500579,99.19588696515119,92.51692277413828,-35.397859357021474,-35.445254187892985,-31.153665177248143,-30.209915107047117,-27.34328489833408
1,95.50247210985813,104.42282626342774,105.48234271240234,93.79673770141602,91.3946845703125,85.62165718078613,-28.59158079147339,-28.5808947327137,-25.389641694545745,-24.921628129720688,-22.596229954719544,88.08814251906486,95.62150764465332,96.48253787005389,87.0064565870497,84.93599397164805,80.48696115281847,-20.865119259666514,-20.796618703338837,-19.15484995201782,-18.9972069506292,-17.593652920590507
2,86.26553473061868,92.79827770996094,93.63167492675781,84.9867893295288,82.83685957336425,78.94960400390624,-18.35013565659523,-18.306927422761916,-17.168122776031495,-16.969364894866942,-16.11388537120819,86.69263633770933,93.40479914347331,94.24344041612413,85.656240745827,83.41276719835069,79.73018300091779,-17.984449056563555,-17.909798526101643,-17.193580602054244,-16.96130410940559,-16.333499997854233
3,86.28874248963926,93.04841065979004,93.87721678161621,85.40939293670654,83.18293926239014,79.49336101531982,-18.128201637983324,-18.066613295555115,-17.27599643087387,-17.016164664268494,-16.438763815641405,86.72185617582072,93.42456217165346,94.26391015229402,85.67212641680682,83.43249405754938,79.73029715926559,-17.876086369708734,-17.803501820122754,-17.153153344436927,-16.898825978791272,-16.33332841374256
4,86.23303231073601,92.71838795471191,93.5467462158203,85.1442250213623,82.92306828308105,79.23330095672607,-17.98177221393585,-17.9296155128479,-17.101131650209428,-16.816634399414063,-16.25877452325821,86.68690292357803,93.40745819939508,94.24601710284198,85.64978762026186,83.41405670731156,79.70705618681731,-17.95130004375069,-17.88176535677027,-17.220715139751082,-16.95429501268599,-16.38736300004853
5,86.18266838648951,92.67877603149414,93.50670376586915,85.07133257293701,82.85522694396973,79.18640101623535,-18.10920082306862,-18.055671253919602,-17.347166734933854,-17.07916663169861,-16.534715152978897,86.671826716245,93.40431566591616,94.24248455188892,85.64460358796296,83.40894084506564,79.70118812278464,-18.009710321823757,-17.942733543890494,-17.27370093707685,-17.00107635943978,-16.429037977147985
6,95.39043861998807,103.82164712524414,104.928751663208,93.78593954467773,90.86382641601563,86.01385707855225,-26.520051325798036,-26.532892439365387,-24.036447066783904,-23.257928361415864,-21.848924312829972,108.88773467346748,121.14791389747903,122.75791818124277,107.19245585688839,103.19569227430556,96.5550668504503,-39.37409165060079,-39.516150688683545,-34.55497425353086,-33.04408708325139,-30.263206712625646
7,106.03216223719949,117.15647431945801,118.70695053100586,104.14528884887696,100.38259823608398,94.09669177246094,-36.910775492429735,-37.13579276037216,-32.41815242934227,-31.017762697458267,-28.470365693330766,100.63392942909702,111.18910838939526,112.67300902472601,99.22422416121871,95.80888670462149,90.11166388900192,-32.68687758291209,-32.86733747853173,-28.93778282183188,-27.76808065838284,-25.5637490550677
8,96.32868919237349,105.715732421875,107.0774479522705,94.90580465698243,91.80503485107423,86.58659782409669,-28.550553929567336,-28.739986342430115,-25.362516107559205,-24.403350510597228,-22.62803884911537,92.05243504052798,100.6422878547951,101.862864529645,90.954233734696,88.20775646633572,83.58689929820873,-25.104960593912338,-25.248917164625944,-22.64987306572773,-21.89147863233531,-20.413697365257477
9,89.58290349059068,97.19737710571289,98.29301362609863,88.33174011230469,85.77891720581054,81.48489276885986,-22.33085235095024,-22.467865763425827,-20.285211921453477,-19.664536637067794,-18.48496855401993,87.50354118117289,94.77454326770923,95.73942537660952,86.50748902780039,84.14971676579228,80.21507906030726,-20.048693063082517,-20.097360173861187,-18.636079759509474,-18.192455567695475,-17.298545276677167
