epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,91.27287209141885,88.83401986694336,82.53988977050781,94.93713569641113,94.45565199279785,96.82706326293945,-9.42057545042038,-6.285280121088028,-11.633998839378357,-11.854115486860275,-11.885864691734314,71.50087835337237,61.598029913725675,46.046673421506526,82.27598416363752,81.96581522623698,88.99618233574762,-4.322020801129164,-1.8008923784450248,-8.358327906440806,-8.605667300798276,-9.784274748078099
1,47.55643201840005,33.22541131210327,33.39779688644409,52.08846445846557,54.15889080810547,68.79614524078369,-1.1262205065488815,-0.4752412773370743,-3.922493619918823,-4.27621796798706,-6.3294473297595975,32.237000123702394,28.483173140773065,32.087932975203906,28.669243741918493,30.761680726651793,47.40603574117025,-0.39392580257521737,-0.27454321417543626,-0.6592609341497775,-0.9018058125619535,-2.679805721397753
2,27.94989161076119,26.497612686157225,30.22199485397339,27.313643390655518,27.924677852630616,34.643620277404786,-0.38124745321273806,-0.30648247385025024,-0.429746141910553,-0.47473133754730223,-1.124290976047516,27.30835799433815,26.41016553949427,30.545266928496183,27.613209282910383,28.054556528727215,30.147685828032316,-0.38026576792752304,-0.333886127780985,-0.4195292178127501,-0.42931583027044934,-0.5115189817216661
3,26.659336003484007,26.038032188415528,30.15183805465698,27.12396510696411,27.558233654022217,29.44129907989502,-0.3702787845134735,-0.3124715245962143,-0.4101698162555695,-0.4136849541664124,-0.4204809354543686,27.21367386633644,26.344828905882657,30.485819604661728,27.524355658778436,27.95876446476689,29.897715674506294,-0.3688693708843655,-0.3212483597022516,-0.41833218601014877,-0.4296388344632255,-0.4218650051841029
4,21.745162762036212,20.957113798141478,25.48853823661804,22.160869733810426,22.705177293777467,24.942279123306275,-0.003575199246406555,-0.02962794005870819,-0.028407899022102355,-0.03776977181434631,-0.07918574571609498,19.774943807206412,18.82803843639515,23.51493165228102,20.08339743260984,20.587033580850672,22.635454495747883,0.19340482630111552,0.13582236292185607,0.19706847491087737,0.19288301081569106,0.1738744565734157
5,18.824645428689745,17.724322904586792,22.27171281051636,19.058471349716186,19.628654655456543,21.758739433288575,0.2298031402826309,0.15927785634994507,0.23690434670448304,0.23302049231529237,0.20798058724403382,20.350462209806306,19.58230875156544,23.6620346793422,20.79793680155719,21.317729314168293,23.30238534786083,0.028392372307954012,-0.012552080882920159,0.020418280804598773,0.007716269956694709,-0.017204504874017503
6,17.546779999393458,16.44924408721924,20.75536890220642,17.783367641448976,18.31977265930176,20.37264242553711,0.29274693632125853,0.2167064448595047,0.29877374136447904,0.29338913428783414,0.26600809586048124,17.83747327680348,16.680395205815632,21.082866465603864,18.07854660352071,18.62892931478995,20.69274937665021,0.2637897774025246,0.1879960204716082,0.27533346469755526,0.26928598240569784,0.2476671078690776
7,17.423218215977514,16.178655284881593,20.513340127944947,17.334563583374024,17.813123405456544,19.74324722099304,0.30399695825576784,0.22502551126480103,0.31625259554386137,0.3114838298559189,0.283789755821228,17.609829823341045,16.50190124688325,21.28583757965653,17.839230519753915,18.27592146838153,20.33040518230862,0.30058340452335497,0.22126059344521276,0.31139492823017967,0.31028494404421914,0.2912171400255627
8,17.276187877860387,16.01053923988342,20.44197961616516,17.34045698928833,17.863090963363646,19.873734344482422,0.31681162333488466,0.23450701367855073,0.3318572223186493,0.3277636522054672,0.30266860139369967,17.35324923443394,16.21321820329737,20.56448049015469,17.52449545153865,18.034822234400995,19.991861873202854,0.26328769271020536,0.18238102010002843,0.27561946489192823,0.26975711849000716,0.24519468402421032
9,16.666648782511153,15.584072765350342,19.89218242073059,16.7382857875824,17.17188916015625,18.9692839679718,0.33195627105236053,0.24686002218723296,0.3521820558309555,0.35025915658473966,0.3291503149271011,17.101101037792915,16.106756563539857,20.446231736077202,17.2907999003375,17.76473084202519,19.610351315251105,0.26428769804813246,0.176184035009808,0.2890725704254927,0.2853140886183138,0.2685783328833403
10,16.580011950673626,15.576076276779174,19.873334251403808,16.743503971099855,17.162119680404665,18.924055519104005,0.34065577101707456,0.2519541355371475,0.36317728328704835,0.3616214735507965,0.34348811852931976,17.03116529173534,16.14375071172361,20.244214252189355,17.253629587314748,17.688836645196986,19.423413515090942,0.2510980185535219,0.16068546970685324,0.2741690388432256,0.2672139533140041,0.24773954793258948
11,16.225729359365445,15.282658586502075,19.418228141784667,16.279084899902344,16.628478158950806,18.243907888412476,0.3402882574796677,0.2511527669429779,0.36897126615047454,0.3701863001585007,0.3548921914100647,16.97289079516364,16.00133975346883,20.110352842896074,17.123196010236388,17.575707444438226,19.367609403751516,0.3713421021346693,0.2932405979545028,0.3946760931500682,0.38652360770437455,0.3654879221209773
12,16.029030188066113,15.162690898895264,19.352257791519165,16.057228748321535,16.348996807098388,17.831958209991456,0.3361230231523514,0.2471862349510193,0.36922066354751587,0.3716323071718216,0.36182860493659974,16.26292123767966,15.433081494437324,19.548965295155842,16.468267573250664,16.87383969624837,18.52917985562925,0.3130970939441963,0.22445682408633055,0.3418650207696138,0.3390268975937808,0.32481195198165047
13,15.9786937888431,15.244285570144653,19.449416130065917,16.0105161819458,16.256070064544677,17.656092304229738,0.3286870770454407,0.23886070704460144,0.36849424815177917,0.3741102457046509,0.36809046018123626,15.891016365185425,14.986638422365543,18.685043617531104,16.163460122214424,16.517875750859577,18.216063331674647,0.344764299414776,0.2531836137727455,0.37755620589962713,0.3732847179527636,0.3535161432292726
14,15.80693077264606,15.10326099205017,19.2639972820282,15.815608848571777,16.022601514816284,17.30196479225159,0.3189312725067139,0.22686011183261873,0.3674298806190491,0.3759525884389877,0.37495418643951417,15.522487800044543,15.268849196257415,19.110312302907307,15.72403210180777,15.753249927803322,16.5730525387658,0.2891272223658032,0.20183107588026258,0.35206953022215104,0.36208980061389784,0.37569567285202166
15,15.64325118969523,15.0315747756958,19.17082565498352,15.517122676849365,15.635852836608887,16.77007024383545,0.30277070999145506,0.21242609632015227,0.3579915059804916,0.3685847433805466,0.3726664917469025,15.93943779991058,15.761148867783723,19.54951340180856,16.133689562479656,16.181775516933865,16.98453664779663,0.22642276298116754,0.13880379442815427,0.279729335948273,0.28517665355293836,0.2984356179281517
16,15.325238114168508,14.875950565338135,18.974253841400145,15.193396808624268,15.227198894500733,16.241887666702272,0.30438482427597047,0.21299084377288818,0.36275303983688356,0.374921756029129,0.37774546563625333,15.943968535957298,15.298669302905047,19.463244341037893,16.101869918681956,16.361989674744784,17.849665526990538,0.36070108468885775,0.2728947925346869,0.4089504568665116,0.41136357795309136,0.4003845938929805
17,15.464760228268199,14.968110061645508,19.130640195846556,15.43091714477539,15.524252485275268,16.628801712036132,0.30531250941753385,0.211623752951622,0.36785864555835723,0.3817017425298691,0.3860945557355881,17.35396044408457,16.520647587599576,20.409944340034766,17.271777656343247,17.56170103285048,18.981805271572536,0.35529798048513905,0.29121002389325035,0.393263410086985,0.38839430499959876,0.37497905448631
18,15.350111210385695,14.757823900222778,18.87461852264404,15.220029327392577,15.329038095474242,16.467622537612915,0.3116600359678268,0.222475323677063,0.37039346957206726,0.38316940581798553,0.3846332266330719,15.795200274258807,14.844761159684923,18.77091509324533,15.994868790661847,16.385482275927508,18.17074661784702,0.3572894748714235,0.26968443669654707,0.3957553125090069,0.39416239548612525,0.3736156628087715
19,15.352861679158774,14.80137829208374,19.01127679824829,15.128980794906616,15.17690647315979,16.219009981155395,0.30635945582389834,0.21467070949077607,0.36940726041793825,0.3822960087060928,0.3835336003303528,14.933877344893228,14.444976267991242,18.18675520684984,15.110299463625308,15.273064101183856,16.570692080038565,0.34456607037120396,0.24995726567727547,0.3948042701791834,0.39504677719540066,0.3830570810370975
20,15.109743165371821,14.593049072265625,18.709484439849852,14.970725564956664,15.01978077507019,16.049437547683716,0.318786541223526,0.22562695276737213,0.38065546679496765,0.3941463216543198,0.39602669823169706,15.292412826075237,15.204303414733321,19.118018318105626,15.438785429354068,15.428575427443892,16.000785412611783,0.27125870684782666,0.19135210580295986,0.3488349026000058,0.363575906113342,0.38756000057414725
21,14.904755861528367,14.47095323753357,18.590876556396484,14.766436012268066,14.792489515304565,15.802131078720093,0.31831164634227754,0.2284140385389328,0.38336008262634275,0.3968306996822357,0.39530795300006866,15.082441679670117,15.033571790765833,18.957938706433332,15.094030910068089,14.984098337314746,15.498941951327854,0.22870576050546434,0.1529513685791581,0.31448952853679657,0.33464866821412687,0.3615682892225407
22,14.97437557461428,14.530123559951782,18.61849828338623,14.853761512756348,14.878828853607178,15.893171449661255,0.3158481936454773,0.22664807951450347,0.38667455899715425,0.4028714450597763,0.4052420530319214,14.897684382991164,14.735672694665414,18.608644397170455,14.969224505954319,14.929350588056776,15.715451417145905,0.2681355548125726,0.1803132897173917,0.3359771426077242,0.34709209700425464,0.35425387212523707
23,14.938245395971215,14.519153255462646,18.534078687667847,14.823164541244507,14.844258924484253,15.843533164978027,0.3209851701259613,0.23455302679538728,0.38425775814056395,0.39890581607818604,0.4007251991033554,14.624986737948939,14.617487289287427,18.29988227950202,14.761718070065534,14.620235911122075,15.124318740986011,0.29221079250176746,0.21018738437581946,0.3746857013967302,0.39501474687346705,0.41579693886968827
