global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr
0,0,0,1675,101.82328796386719,101.82328796386719,0.0010000000474974513
1,0,1,177,110.0255126953125,106.60205841064453,0.0010000000474974513
2,0,2,1151,111.09070587158203,107.89934539794922,0.0010000000474974513
3,0,3,1642,120.2682113647461,111.52149200439453,0.0010000000474974513
4,0,4,1087,107.58512878417969,110.4190444946289,0.0010000000474974513
5,0,5,1817,104.40791320800781,109.88008880615234,0.0010000000474974513
6,0,6,1457,110.68636322021484,110.04497528076172,0.0010000000474974513
7,0,7,1923,116.30147552490234,110.90019989013672,0.0010000000474974513
8,0,8,1548,108.34337615966797,110.60909271240234,0.0010000000474974513
9,0,9,1363,98.48902130126953,109.32772827148438,0.0010000000474974513
10,0,10,1092,99.32833099365234,108.08794403076172,0.0010000000474974513
11,0,11,1523,133.0507354736328,109.1468734741211,0.0010000000474974513
12,0,12,1648,116.24046325683594,109.56937408447266,0.0010000000474974513
13,0,13,1686,125.9906005859375,111.21314239501953,0.0010000000474974513
14,0,14,1794,99.28334045410156,110.39176940917969,0.0010000000474974513
15,0,15,1596,110.48907470703125,110.39630126953125,0.0010000000474974513
16,0,16,1118,110.43092346191406,110.3984603881836,0.0010000000474974513
17,0,17,1098,122.3847427368164,110.9165267944336,0.0010000000474974513
18,0,18,1846,108.7561264038086,110.79541015625,0.0010000000474974513
19,0,19,1586,104.19078063964844,110.32903289794922,0.0010000000474974513
20,0,20,1259,111.39286804199219,110.36675262451172,0.0010000000474974513
21,0,21,1313,95.84784698486328,109.48392486572266,0.0010000000474974513
22,0,22,1355,107.41715240478516,109.38954162597656,0.0010000000474974513
23,0,23,1383,112.85909271240234,109.500244140625,0.0010000000474974513
24,0,24,1779,127.14952850341797,110.47563934326172,0.0010000000474974513
25,0,25,178,119.05362701416016,110.80998992919922,0.0010000000474974513
26,0,26,1900,136.85604858398438,111.30803680419922,0.0010000000474974513
27,0,27,1762,113.74510955810547,111.3996810913086,0.0010000000474974513
28,0,28,1918,104.5439453125,111.07080078125,0.0010000000474974513
29,0,29,1439,112.33264923095703,111.1277084350586,0.0010000000474974513
30,0,30,1858,118.31278991699219,111.36329650878906,0.0010000000474974513
31,0,31,1127,112.5882568359375,111.39220428466797,0.0010000000474974513
32,0,32,1132,111.85187530517578,111.40682220458984,0.0010000000474974513
33,0,33,1769,110.8697280883789,111.38507080078125,0.0010000000474974513
34,0,34,1714,110.27400207519531,111.35342407226562,0.0010000000474974513
35,0,35,2060,107.98918151855469,111.25741577148438,0.0010000000474974513
36,0,36,1902,99.42969512939453,110.93050384521484,0.0010000000474974513
37,0,37,1373,98.01134490966797,110.6563720703125,0.0010000000474974513
38,0,38,2144,110.65995025634766,110.65642547607422,0.0010000000474974513
39,0,39,1627,114.14848327636719,110.74786376953125,0.0010000000474974513
40,0,40,1506,108.76123046875,110.72482299804688,0.0010000000474974513
41,0,41,1365,126.49126434326172,110.9157485961914,0.0010000000474974513
