global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr,seconds
0,0,0,1675,101.82331848144531,101.82331848144531,0.001,8.006939172744751
1,0,1,177,110.025634765625,106.60214160677626,0.001,11.557912826538086
2,0,2,1151,111.09075927734375,107.89941474054913,0.001,6.13004469871521
3,0,3,1642,120.26822662353516,111.52155582094932,0.001,5.596666097640991
4,0,4,1087,107.58521270751953,110.41910719155682,0.001,14.006307363510132
5,0,5,1817,104.40790557861328,109.88014709475974,0.001,7.960242509841919
6,0,6,1457,110.68634796142578,110.04501855236313,0.001,13.053340911865234
7,0,7,1923,116.30158233642578,110.90025582299124,0.001,10.366795063018799
8,0,8,1548,108.34333801269531,110.60913584875682,0.001,10.8118577003479
9,0,9,1363,98.48898315429688,109.32776527703734,0.001,8.495590209960938
10,0,10,1092,99.32833099365234,108.08797116599668,0.001,13.718682289123535
11,0,11,1523,133.05050659179688,109.14688648881473,0.001,9.916233777999878
12,0,12,1648,116.24046325683594,109.56938325740278,0.001,7.456209659576416
13,0,13,1686,125.99034118652344,111.21313383277327,0.001,6.336749315261841
14,0,14,1794,99.2832260131836,110.3917486949425,0.001,4.412562131881714
15,0,15,1596,110.4888916015625,110.39627505395674,0.001,7.347036838531494
16,0,16,1118,110.43073272705078,110.39842417992485,0.001,7.314668893814087
17,0,17,1098,122.38455200195312,110.91648431268206,0.001,9.110663652420044
18,0,18,1846,108.75599670410156,110.7953660679586,0.001,8.149114847183228
19,0,19,1586,104.19078826904297,110.32899417362968,0.001,11.10123062133789
20,0,20,1259,111.39299011230469,110.36671876081587,0.001,9.360685110092163
21,0,21,1313,95.84788513183594,109.48388971481008,0.001,8.227254867553711
22,0,22,1355,107.41719055175781,109.38951402608046,0.001,9.893537759780884
23,0,23,1383,112.85919952392578,109.50022057451028,0.001,6.772985219955444
24,0,24,1779,127.14949798583984,110.47560716089858,0.001,9.784559965133667
25,0,25,178,119.05366516113281,110.80996000900954,0.001,10.969649314880371
26,0,26,1900,136.85609436035156,111.30800508516266,0.001,6.114681720733643
27,0,27,1762,113.74515533447266,111.39965368935489,0.001,9.950621604919434
28,0,28,1918,104.54393768310547,111.0707743549471,0.001,8.504212141036987
29,0,29,1439,112.33265686035156,111.12768550338063,0.001,12.559781551361084
30,0,30,1858,118.31298065185547,111.36327548946797,0.001,11.198405504226685
31,0,31,1127,112.58827209472656,111.39217939397592,0.001,10.553512573242188
32,0,32,1132,111.8519287109375,111.40680754373328,0.001,8.300840377807617
33,0,33,1769,110.86981201171875,111.38506437094645,0.001,13.002011775970459
34,0,34,1714,110.27439880371094,111.35342627565775,0.001,10.816783428192139
35,0,35,2060,107.98922729492188,111.25742506445563,0.001,8.702999830245972
36,0,36,1902,99.42990112304688,110.93051722136194,0.001,10.564037799835205
37,0,37,1373,98.0118179321289,110.65639715578932,0.001,8.100710391998291
38,0,38,2144,110.66046905517578,110.65644834472351,0.001,6.942217826843262
39,0,39,1627,114.14866638183594,110.7479005308846,0.001,10.586517572402954
40,0,40,1506,108.76164245605469,110.72486274899279,0.001,5.86262845993042
41,0,41,1365,126.49153137207031,110.91578520321394,0.001,4.689804792404175
42,0,42,1128,107.80889129638672,110.83886554028506,0.001,8.76442003250122
43,0,43,1502,112.01118469238281,110.8768075599943,0.001,13.011610507965088
44,0,44,1844,114.13520812988281,110.90948915807242,0.001,6.830397844314575
45,0,45,1181,120.5969009399414,111.1285336168937,0.001,9.65930461883545
46,0,46,2071,112.82382202148438,111.15591070415933,0.001,9.197623252868652
47,0,47,1615,117.4054946899414,111.29225621843302,0.001,8.289582967758179
48,0,48,1394,102.52069091796875,111.10105843241938,0.001,10.270606756210327
49,0,49,1751,118.09813690185547,111.20856586778079,0.001,10.032686471939087
