global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr,seconds
0,0,0,120,86.62774658203125,86.62774658203125,0.001,6.755137920379639
1,0,1,13,89.15425872802734,87.67444447108677,0.001,5.3915910720825195
2,0,2,146,88.7302017211914,87.90905719333225,0.001,3.695363759994507
3,0,3,26,85.83710479736328,87.40412761784401,0.001,5.285285711288452
4,0,4,261,89.113525390625,87.90270196823846,0.001,6.1234776973724365
5,0,5,243,89.12638092041016,88.20045787586632,0.001,7.0513246059417725
6,0,6,151,89.9771957397461,88.47168968411054,0.001,6.058145046234131
7,0,7,248,87.1873779296875,88.25561628363623,0.001,5.277170419692993
8,0,8,232,89.05008697509766,88.3755283076827,0.001,7.57916522026062
9,0,9,256,89.86307525634766,88.57060501074513,0.001,5.884871959686279
10,0,10,265,88.29161071777344,88.5456217789242,0.001,7.332370042800903
11,0,11,38,89.62686920166016,88.61870445348913,0.001,5.550597667694092
12,0,12,113,91.3204345703125,88.79445939812705,0.001,4.80980110168457
13,0,13,267,88.82028198242188,88.79612095304886,0.001,7.188718795776367
14,0,14,100,87.79312133789062,88.72784821882148,0.001,5.403804302215576
15,0,15,156,88.60368347167969,88.71993513604016,0.001,5.9562296867370605
16,0,16,1,86.25070190429688,88.57199776471501,0.001,6.292789697647095
17,0,17,245,89.08319854736328,88.59230504555717,0.001,4.359371185302734
18,0,18,153,87.7433090209961,88.54611763837273,0.001,6.479301452636719
19,0,19,96,88.49574279785156,88.54423335145445,0.001,4.840245485305786
20,0,20,284,90.919921875,88.6597734949441,0.001,5.882981061935425
21,0,21,178,85.212890625,88.5798943982796,0.001,4.861698389053345
22,0,22,21,85.4446792602539,88.47457097044638,0.001,4.459784984588623
23,0,23,130,89.35407257080078,88.51407693789632,0.001,5.5802390575408936
24,0,24,231,90.03750610351562,88.57956556403794,0.001,6.532477140426636
25,0,25,235,85.10400390625,88.51669266150766,0.001,4.8304667472839355
26,0,26,16,88.22537994384766,88.50117113519862,0.001,7.3681323528289795
27,0,27,56,88.60797119140625,88.5051809356194,0.001,5.862226247787476
28,0,28,184,90.87686157226562,88.5729055644964,0.001,5.787015438079834
29,0,29,278,84.4103012084961,88.50014071177488,0.001,5.663422584533691
30,0,30,7,88.01133728027344,88.47811013458045,0.001,6.130067586898804
31,0,31,214,84.47879791259766,88.41244672200813,0.001,5.448892831802368
32,0,32,234,90.55805206298828,88.48066268913318,0.001,6.606792211532593
