global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr,seconds
0,0,0,172,99.99630737304688,99.99630737304688,0.001,6.182335138320923
1,0,1,192,99.99510955810547,99.99574657269919,0.001,5.6312315464019775
2,0,2,29,99.9920654296875,99.99422690380905,0.001,6.995236396789551
3,0,3,167,99.9823226928711,99.99139674428031,0.001,5.799066543579102
4,0,4,2,99.99372100830078,99.99194906452712,0.001,5.476485013961792
5,0,5,225,99.99469757080078,99.99240475488065,0.001,7.098681211471558
6,0,6,100,99.99952697753906,99.99334115604407,0.001,5.45202898979187
7,0,7,256,99.99987030029297,99.99431500629827,0.001,7.278043270111084
8,0,8,130,100.00067901611328,99.99495529474534,0.001,6.554609537124634
9,0,9,75,99.99897766113281,99.99522435160847,0.001,4.543155908584595
10,0,10,7,100.00133514404297,99.99588223536564,0.001,7.898472309112549
11,0,11,122,100.00140380859375,99.99609405365385,0.001,4.181162118911743
12,0,12,170,99.99961853027344,99.99634505076402,0.001,5.870019435882568
13,0,13,178,100.00135040283203,99.99651725571196,0.001,5.6477882862091064
14,0,14,213,99.99870300292969,99.99666453262712,0.001,5.163401365280151
15,0,15,154,99.99739074707031,99.99670104666609,0.001,5.470602035522461
16,0,16,19,99.99705505371094,99.99671896912886,0.001,5.678290843963623
17,0,17,11,99.99783325195312,99.99678135344702,0.001,4.901820421218872
18,0,18,235,99.99161529541016,99.99665742175786,0.001,4.573539733886719
19,0,19,153,99.99728393554688,99.99669063234586,0.001,5.587778568267822
20,0,20,42,99.99755096435547,99.99673298564363,0.001,4.9865217208862305
21,0,21,52,99.99618530273438,99.99669965620531,0.001,7.623848915100098
22,0,22,70,99.9966812133789,99.99669907351424,0.001,4.9627461433410645
23,0,23,84,99.99535369873047,99.99663776405453,0.001,7.428663730621338
24,0,24,208,99.99456024169922,99.99655686348932,0.001,5.23536491394043
25,0,25,193,99.99626159667969,99.996541461736,0.001,7.615893125534058
26,0,26,245,99.99591064453125,99.99652456887738,0.001,6.256520509719849
27,0,27,200,99.99667358398438,99.99653164657887,0.001,5.811804533004761
28,0,28,254,99.9899673461914,99.99629778894054,0.001,7.053506851196289
29,0,29,94,99.9939956665039,99.99624811349737,0.001,5.665369510650635
30,0,30,237,99.99640655517578,99.99625196251684,0.001,5.43515419960022
31,0,31,25,99.99690246582031,99.99627962633896,0.001,6.389522552490234
32,0,32,27,99.9963607788086,99.99628277137329,0.001,5.3835344314575195
33,0,33,205,99.98992919921875,99.99618945827598,0.001,5.094135999679565
34,0,34,186,99.99349975585938,99.99615052715598,0.001,4.277615785598755
35,0,35,276,99.99502563476562,99.99611198378902,0.001,5.942583084106445
36,0,36,248,99.99275207519531,99.99599197087929,0.001,8.060678720474243
37,0,37,82,99.98838806152344,99.99572495884573,0.001,6.222083568572998
38,0,38,296,99.99372100830078,99.99568661306415,0.001,7.156349182128906
