global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr,seconds
0,0,0,1516,111.50495147705078,111.50495147705078,0.001,9.680079698562622
1,0,1,1105,100.65837860107422,107.895527619747,0.001,5.895426034927368
2,0,2,1575,110.27372741699219,108.86440426195321,0.001,9.378407001495361
3,0,3,1128,107.80976867675781,108.56388171316898,0.001,9.927016735076904
4,0,4,1945,113.64839935302734,109.96366083543741,0.001,9.073548793792725
5,0,5,1896,106.3105239868164,109.34258567740063,0.001,10.627513408660889
6,0,6,1585,105.43531036376953,108.62365433240804,0.001,11.21239972114563
7,0,7,1902,99.43048095703125,107.49510394096505,0.001,8.890052795410156
8,0,8,1839,123.27931213378906,108.3489668922528,0.001,8.20536184310913
9,0,9,1923,116.30208587646484,109.19164644561165,0.001,7.578368902206421
10,0,10,2000,104.3868637084961,108.96821748858882,0.001,7.59356164932251
11,0,11,1181,120.59767150878906,109.99174751214956,0.001,7.256234645843506
12,0,12,1493,114.13343048095703,110.43701678451725,0.001,10.506305456161499
13,0,13,2008,137.9612274169922,111.34869539850776,0.001,6.168445348739624
14,0,14,1457,110.68651580810547,111.28702909320101,0.001,10.135317087173462
15,0,15,1602,100.70118713378906,111.05708821643967,0.001,6.400550842285156
16,0,16,1083,121.1110610961914,111.88483671255663,0.001,9.253018379211426
17,0,17,1900,136.85653686523438,112.63349973780662,0.001,8.321336269378662
18,0,18,1586,104.19097900390625,111.98993667071458,0.001,9.401191473007202
19,0,19,1441,113.55873107910156,112.03211961049047,0.001,8.188799858093262
20,0,20,2075,112.3861083984375,112.04533124312029,0.001,7.207592248916626
21,0,21,1686,125.99066162109375,112.96650627868613,0.001,10.981094121932983
22,0,22,1122,109.51993560791016,112.84667525551156,0.001,10.017258644104004
23,0,23,1548,108.34335327148438,112.64846322862715,0.001,8.020972967147827
24,0,24,1838,119.37139892578125,112.93804004176165,0.001,10.146697759628296
25,0,25,1846,108.7559814453125,112.76388770188349,0.001,9.247085094451904
26,0,26,1113,119.5475845336914,113.12344148362291,0.001,8.353253841400146
27,0,27,1326,127.36280822753906,113.38432272323101,0.001,6.148451089859009
28,0,28,1706,113.81747436523438,113.40054074664988,0.001,7.703883647918701
29,0,29,2066,107.2055435180664,113.10642818936113,0.001,9.293023109436035
30,0,30,1092,99.32811737060547,112.4775491760425,0.001,7.501204490661621
31,0,31,1797,133.41571044921875,112.81970937245782,0.001,6.020014524459839
32,0,32,1845,118.51925659179688,112.90445806689097,0.001,4.947190999984741
33,0,33,2140,123.8759994506836,113.06756987366555,0.001,3.830759286880493
34,0,34,1523,133.04991149902344,113.37388266213516,0.001,4.969727039337158
35,0,35,1081,104.2594223022461,113.08978057659098,0.001,5.552448511123657
36,0,36,1368,129.30848693847656,113.44954432797944,0.001,4.6329851150512695
37,0,37,1682,108.72637176513672,113.31041108690697,0.001,6.495245695114136
38,0,38,1440,101.47357177734375,112.97796727301699,0.001,4.9021077156066895
39,0,39,1617,109.5753173828125,112.8567088027397,0.001,6.024732828140259
40,0,40,1615,117.4052505493164,112.97672237470438,0.001,6.592807054519653
41,0,41,2013,122.39558410644531,113.09411534209595,0.001,3.6932151317596436
42,0,42,1812,105.23792266845703,112.8218679739986,0.001,7.778869390487671
43,0,43,1879,124.68318939208984,113.0391936184174,0.001,5.989034175872803
44,0,44,2070,113.7820816040039,113.06331148559683,0.001,5.929005146026611
45,0,45,1132,111.85127258300781,113.0340079060336,0.001,6.480204343795776
46,0,46,1339,141.5029754638672,113.35815229441332,0.001,3.944225549697876
47,0,47,2163,110.79330444335938,113.2976521401417,0.001,5.819530725479126
48,0,48,1098,122.38294982910156,113.44585552837124,0.001,5.884112119674683
49,0,49,1480,120.31047058105469,113.51786737546585,0.001,3.4814252853393555
50,1,0,1117,121.2651596069336,121.2651596069336,0.001,7.293117523193359
51,1,1,1532,109.76029968261719,114.75985117289116,0.001,5.912780284881592
52,1,2,1482,121.13492584228516,115.82531445576448,0.001,3.8764102458953857
53,1,3,1313,95.84632873535156,109.58818533469685,0.001,7.543692588806152
54,1,4,2099,113.56845092773438,110.18214103959554,0.001,4.52322244644165
55,1,5,1806,104.45533752441406,108.9369462527508,0.001,7.5997538566589355
56,1,6,1764,112.12390899658203,109.51412020103848,0.001,6.218341827392578
57,1,7,1302,103.50559997558594,108.65753957888019,0.001,7.737321376800537
58,1,8,1616,125.38191223144531,110.40782015488394,0.001,5.24216628074646
59,1,9,2196,122.07437896728516,110.89832815320604,0.001,4.2081263065338135
60,1,10,1828,116.23217010498047,111.52671726511903,0.001,7.615649461746216
61,1,11,2205,112.15798950195312,111.57774217541834,0.001,4.7067553997039795
62,1,12,1087,107.58226013183594,111.20111130151601,0.001,7.080843925476074
63,1,13,1714,110.27146911621094,111.14013456466238,0.001,5.634600639343262
64,1,14,1088,102.72496795654297,110.6201985965541,0.001,4.732551336288452
