global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr,seconds
0,0,0,234,90.57152557373047,90.57152557373047,0.001,5.092629909515381
1,0,1,123,90.86896514892578,90.73964359449303,0.001,3.707653045654297
2,0,2,190,86.624267578125,89.4497496192135,0.001,3.541919469833374
3,0,3,225,89.18435668945312,89.38192698160807,0.001,5.968252420425415
4,0,4,88,90.58501434326172,89.59617541587517,0.001,4.491250991821289
5,0,5,184,90.88703155517578,89.76119525686103,0.001,3.2773914337158203
6,0,6,98,86.19430541992188,89.49805325487362,0.001,2.5285391807556152
7,0,7,52,87.63434600830078,89.18848637909714,0.001,5.758271217346191
8,0,8,53,91.25965118408203,89.40012155662943,0.001,3.5463685989379883
9,0,9,94,87.72624969482422,89.28798378696456,0.001,3.395406484603882
10,0,10,172,87.48941802978516,89.11235076719815,0.001,3.0890610218048096
11,0,11,56,88.6202621459961,89.0695241200547,0.001,5.354367733001709
12,0,12,193,86.88944244384766,88.84170491148275,0.001,3.85848069190979
13,0,13,63,89.53068542480469,88.86449891826453,0.001,2.172037124633789
14,0,14,226,88.60552215576172,88.85620539564735,0.001,2.504343271255493
15,0,15,25,90.5416488647461,89.00642925952197,0.001,5.609253168106079
16,0,16,252,90.1981430053711,89.10232396916821,0.001,3.885340929031372
17,0,17,95,88.08740234375,89.06167338731117,0.001,3.0747952461242676
18,0,18,276,91.34526824951172,89.21153740005424,0.001,3.9407403469085693
19,0,19,268,89.03215789794922,89.19967093690754,0.001,5.394280433654785
20,0,20,82,86.69522094726562,89.04152751662436,0.001,3.5354082584381104
21,0,21,233,87.0087890625,88.94852974652466,0.001,3.466883897781372
22,0,22,104,91.29158782958984,89.06576026622326,0.001,4.44649600982666
23,0,23,129,87.64690399169922,89.00528383488493,0.001,4.288457632064819
24,0,24,69,90.84468841552734,89.1041979210844,0.001,3.7028560638427734
25,0,25,75,89.12863159179688,89.10488265224284,0.001,3.456125497817993
26,0,26,120,86.62725067138672,89.01356396183013,0.001,4.8443591594696045
27,0,27,231,90.04580688476562,89.05111957752945,0.001,3.8066635131835938
28,0,28,263,85.40983581542969,88.92329116060517,0.001,2.853882312774658
29,0,29,199,89.80665588378906,88.95940756342895,0.001,3.486248016357422
30,0,30,156,88.6092529296875,88.94800187503347,0.001,4.427597999572754
31,0,31,46,85.61687469482422,88.87466742945972,0.001,3.6934499740600586
32,0,32,5,87.2962646484375,88.82706310114303,0.001,3.2194011211395264
33,0,33,241,91.3470458984375,88.86359981458949,0.001,2.671173095703125
34,0,34,21,85.45783996582031,88.79110727652392,0.001,3.191763401031494
35,0,35,284,90.92574310302734,88.8514482585717,0.001,5.304716348648071
36,0,36,165,88.58123016357422,88.84384374913913,0.001,3.319131374359131
37,0,37,182,87.21856689453125,88.78607666704892,0.001,3.501368761062622
38,0,38,116,87.98323059082031,88.76486174014039,0.001,4.362275838851929
39,0,39,171,81.40641021728516,88.67793783698404,0.001,3.3605732917785645
40,0,40,311,90.33316040039062,88.72305979467714,0.001,3.408925771713257
41,0,41,70,90.74288177490234,88.75787396253838,0.001,3.336069107055664
42,0,42,194,88.07217407226562,88.74625532577653,0.001,3.2744863033294678
43,0,43,85,88.35833740234375,88.74111141557823,0.001,4.887768983840942
44,0,44,238,87.68680572509766,88.72377381136845,0.001,3.163726806640625
45,0,45,251,87.38288116455078,88.71020701328317,0.001,2.9152896404266357
46,0,46,118,87.97314453125,88.69323075891572,0.001,3.353517770767212
47,0,47,137,90.6114501953125,88.7493929441418,0.001,4.961661338806152
48,0,48,62,90.37873840332031,88.78751074643864,0.001,3.52864933013916
49,0,49,228,87.2037582397461,88.76318928897034,0.001,3.1647636890411377
50,1,0,295,87.09049224853516,87.09049224853516,0.001,4.513269424438477
