global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr,seconds
0,0,0,25,99.99989318847656,99.99989318847656,0.001,3.659169912338257
1,0,1,241,100.00017547607422,99.99996861602436,0.001,3.374436378479004
2,0,2,113,99.99983215332031,99.99992520031095,0.001,4.263235807418823
3,0,3,73,99.99964141845703,99.99983280013736,0.001,4.355977535247803
4,0,4,187,99.99964141845703,99.99979354714958,0.001,3.6955878734588623
5,0,5,88,99.9994888305664,99.99974479749623,0.001,4.357869625091553
6,0,6,89,99.99935150146484,99.99971615199276,0.001,3.657933473587036
7,0,7,157,99.99920654296875,99.99965779817676,0.001,3.1932995319366455
8,0,8,229,99.99925231933594,99.9996075507435,0.001,3.437666177749634
9,0,9,228,99.99906158447266,99.99956315421812,0.001,4.313127279281616
10,0,10,54,99.99910736083984,99.99954195041686,0.001,3.203336477279663
11,0,11,82,99.99954223632812,99.99954198543234,0.001,3.8352105617523193
12,0,12,223,99.99862670898438,99.99950613427926,0.001,2.381204843521118
13,0,13,63,99.99838256835938,99.99946372667482,0.001,2.47359037399292
14,0,14,138,99.9985122680664,99.99942912118895,0.001,3.770355463027954
15,0,15,234,99.99864196777344,99.9993702575946,0.001,4.383195877075195
16,0,16,70,99.99847412109375,99.99932424686179,0.001,3.188983201980591
17,0,17,186,99.9984130859375,99.99929303470373,0.001,2.308114767074585
18,0,18,181,99.99787139892578,99.99925736769882,0.001,3.0467288494110107
19,0,19,209,99.998046875,99.99917980536141,0.001,4.212636709213257
20,0,20,118,99.99788665771484,99.99910015410399,0.001,3.4636013507843018
21,0,21,214,99.99781799316406,99.9990636187967,0.001,2.486518144607544
22,0,22,97,99.99757385253906,99.99898901706902,0.001,3.1629717350006104
23,0,23,178,99.99784088134766,99.99895875817998,0.001,4.527652263641357
24,0,24,46,99.99738311767578,99.99890085852891,0.001,3.3175878524780273
25,0,25,27,99.9975357055664,99.99881633145,0.001,4.074950218200684
26,0,26,108,99.9974365234375,99.99878580561268,0.001,2.485118865966797
27,0,27,144,99.99667358398438,99.99868738143101,0.001,5.2826762199401855
28,0,28,238,99.99723052978516,99.99864194295206,0.001,3.043633222579956
29,0,29,104,99.99726104736328,99.9985754320881,0.001,3.7690322399139404
30,0,30,191,99.99707794189453,99.99850550439633,0.001,3.5299863815307617
31,0,31,237,99.99707794189453,99.99846489865531,0.001,5.044011354446411
32,0,32,177,99.99518585205078,99.99840987596595,0.001,2.8921098709106445
33,0,33,213,99.99618530273438,99.99832605783037,0.001,3.1698222160339355
34,0,34,253,99.9961166381836,99.99829094742722,0.001,2.626378059387207
35,0,35,65,99.99480438232422,99.99823640830161,0.001,3.417832851409912
36,0,36,5,99.9951171875,99.99812909265768,0.001,4.57173228263855
37,0,37,207,99.99589538574219,99.99804781440814,0.001,3.5896430015563965
38,0,38,263,99.99530029296875,99.99795756970614,0.001,3.23593807220459
39,0,39,26,99.99552154541016,99.99790354760276,0.001,3.844491481781006
40,0,40,231,99.99565887451172,99.99783369780664,0.001,4.320899486541748
41,0,41,149,99.9951400756836,99.99777512807141,0.001,3.342149496078491
42,0,42,142,99.99519348144531,99.9976988608151,0.001,3.6359808444976807
43,0,43,22,99.99402618408203,99.99764791156446,0.001,3.114372730255127
44,0,44,9,99.99470520019531,99.997578164901,0.001,4.125105142593384
45,0,45,43,99.99249267578125,99.99740517776539,0.001,3.7975635528564453
46,0,46,130,99.99420166015625,99.997319516761,0.001,3.8017618656158447
47,0,47,281,99.99324798583984,99.9972533430677,0.001,4.122546434402466
48,0,48,3,99.9942398071289,99.99718689447566,0.001,4.162155866622925
49,0,49,156,99.99371337890625,99.99709977916565,0.001,3.2476015090942383
50,1,0,227,99.99371337890625,99.99371337890625,0.001,4.272182464599609
51,1,1,261,99.9933090209961,99.99349564772386,0.001,5.587457180023193
52,1,2,208,99.99288177490234,99.99331181667877,0.001,2.9788577556610107
53,1,3,44,99.99230194091797,99.99312750958586,0.001,3.0990211963653564
54,1,4,292,99.99201965332031,99.99290028543935,0.001,3.635770797729492
55,1,5,320,99.9922103881836,99.9927516380322,0.001,4.939228057861328
56,1,6,180,99.99153137207031,99.99257922367396,0.001,3.686338186264038
57,1,7,75,99.99112701416016,99.99244618412183,0.001,3.4328577518463135
58,1,8,102,99.99026489257812,99.9922027966585,0.001,5.066369295120239
59,1,9,284,99.99169921875,99.99215227559837,0.001,3.6312761306762695
60,1,10,303,99.99114990234375,99.99203729988469,0.001,3.6156342029571533
61,1,11,110,99.99014282226562,99.99188276403314,0.001,3.2287657260894775
62,1,12,291,99.9894027709961,99.99173432395423,0.001,4.924605131149292
63,1,13,13,99.98924255371094,99.99160611577139,0.001,3.255668878555298
64,1,14,296,99.9886245727539,99.99145543766564,0.001,2.940335273742676
65,1,15,311,99.988037109375,99.9912150665913,0.001,3.839752197265625
66,1,16,255,99.9881820678711,99.99106601933651,0.001,4.829150915145874
67,1,17,265,99.98723602294922,99.99084070174946,0.001,4.220599412918091
68,1,18,124,99.98002624511719,99.99026762920602,0.001,3.4483728408813477
69,1,19,257,99.97758483886719,99.98959908581638,0.001,3.5408873558044434
70,1,20,329,99.98129272460938,99.98945540377906,0.001,3.848468542098999
71,1,21,184,99.98106384277344,99.989135758509,0.001,3.238105535507202
72,1,22,224,99.98368072509766,99.98897224586351,0.001,3.0427212715148926
73,1,23,262,99.98451232910156,99.98875693278745,0.001,3.6045799255371094
74,1,24,172,99.98136138916016,99.988431137914,0.001,5.158032417297363
75,1,25,197,99.98348236083984,99.98822709541597,0.001,3.2662787437438965
76,1,26,347,99.98066711425781,99.98808535509427,0.001,2.760728120803833
77,1,27,341,99.97908782958984,99.98772729552331,0.001,3.2010691165924072
78,1,28,205,99.96826934814453,99.98736542185067,0.001,3.4435439109802246
79,1,29,94,99.9771728515625,99.98712481278267,0.001,3.7578125
80,1,30,81,99.96408081054688,99.98679484675817,0.001,2.262784957885742
81,1,31,219,99.97882080078125,99.98651261619442,0.001,3.317352056503296
82,1,32,12,99.97333526611328,99.98607278474978,0.001,3.1987509727478027
83,1,33,305,99.97346496582031,99.98586582777457,0.001,4.056222677230835
84,1,34,7,99.97550201416016,99.98542618785723,0.001,3.8428356647491455
85,1,35,95,99.97168731689453,99.98513035904865,0.001,3.1070141792297363
86,1,36,69,99.97418975830078,99.98468039996838,0.001,3.3983402252197266
87,1,37,338,99.97187042236328,99.98429625869477,0.001,5.886476039886475
88,1,38,362,99.967529296875,99.98380724777768,0.001,3.7321524620056152
89,1,39,151,99.96908569335938,99.98340938809035,0.001,3.18308162689209
90,1,40,269,99.91277313232422,99.98147154130886,0.001,3.736654043197632
91,1,41,56,99.96646881103516,99.98107841894338,0.001,5.349177360534668
92,1,42,100,99.9494400024414,99.9802503816839,0.001,3.413210868835449
93,1,43,42,99.96334075927734,99.97982887405283,0.001,3.5835275650024414
94,1,44,309,99.95781707763672,99.97947261946837,0.001,3.6519970893859863
95,1,45,276,99.95736694335938,99.97884323868479,0.001,4.999826908111572
96,1,46,190,99.9521713256836,99.97820815713479,0.001,3.5982019901275635
97,1,47,239,99.95402526855469,99.97777824958928,0.001,3.239039897918701
98,1,48,233,99.94586944580078,99.97706600919875,0.001,4.693768501281738
99,1,49,310,99.95281982421875,99.97653662356154,0.001,3.8940155506134033
100,2,0,282,99.94537353515625,99.94537353515625,0.001,4.558031797409058
101,2,1,193,99.87621307373047,99.89466201309047,0.001,3.4193856716156006
102,2,2,288,99.94417572021484,99.91423185901984,0.001,3.5596892833709717
103,2,3,334,99.93231964111328,99.9165222984924,0.001,2.4283480644226074
104,2,4,166,99.94107818603516,99.9232871525443,0.001,5.8023693561553955
105,2,5,67,99.92802429199219,99.92389792077367,0.001,3.795067548751831
106,2,6,316,99.89557647705078,99.92077007297473,0.001,2.9362704753875732
107,2,7,170,99.9317855834961,99.92227385521016,0.001,3.366783618927002
108,2,8,189,99.9254379272461,99.9227818120195,0.001,4.874852180480957
109,2,9,85,99.90739440917969,99.921829992574,0.001,3.373202323913574
110,2,10,14,99.87925720214844,99.9197603117243,0.001,2.5076241493225098
111,2,11,243,99.91729736328125,99.91946131950057,0.001,3.4491896629333496
112,2,12,397,99.91309356689453,99.91885280148605,0.001,5.952380657196045
113,2,13,354,99.90925598144531,99.91788754733301,0.001,4.294494152069092
114,2,14,134,99.88453674316406,99.91478939275504,0.001,3.859962224960327
115,2,15,120,99.76421356201172,99.90520043758792,0.001,5.108034133911133
116,2,16,350,99.8910903930664,99.90433633687724,0.001,4.426743268966675
117,2,17,372,99.87266540527344,99.9035702772788,0.001,2.489217519760132
118,2,18,66,99.88203430175781,99.90260444003192,0.001,3.259831190109253
119,2,19,45,99.87603759765625,99.90120227025443,0.001,4.719181776046753
120,2,20,35,99.8646469116211,99.89936964138643,0.001,3.606950044631958
121,2,21,401,99.85318756103516,99.89794534957966,0.001,2.9043185710906982
122,2,22,375,99.80459594726562,99.8957841085699,0.001,2.3642237186431885
123,2,23,86,99.80397033691406,99.8937065213853,0.001,3.121971845626831
