global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr,seconds
0,0,0,1127,112.58885955810547,112.58885955810547,0.001,6.28344464302063
1,0,1,1879,124.68464660644531,118.6263156821378,0.001,3.5990498065948486
2,0,2,1493,114.13330841064453,116.47547483615807,0.001,7.5409557819366455
3,0,3,1360,128.05517578125,118.12092243636536,0.001,4.138846158981323
4,0,4,1717,125.24415588378906,119.02073299996441,0.001,3.0601415634155273
5,0,5,1397,95.08710479736328,112.65817936392638,0.001,5.489093780517578
6,0,6,1399,112.06391906738281,112.53305156081119,0.001,6.980059385299683
7,0,7,1615,117.4062271118164,113.1772502205288,0.001,5.1612772941589355
8,0,8,1828,116.23538970947266,113.65243520366079,0.001,7.514220714569092
9,0,9,1823,106.37828063964844,112.67346483594933,0.001,5.557848930358887
10,0,10,1324,105.1182861328125,111.80145856148027,0.001,6.436935186386108
11,0,11,1373,98.01202392578125,110.91637160843987,0.001,5.572179079055786
12,0,12,1812,105.23884582519531,110.35281683106422,0.001,5.658644914627075
13,0,13,1334,131.0885772705078,111.0432266282915,0.001,5.367716312408447
14,0,14,1569,105.93081665039062,110.70166046779809,0.001,4.650646924972534
15,0,15,1845,118.51985168457031,110.92798319220144,0.001,3.466865062713623
16,0,16,1355,107.4173583984375,110.71437861179247,0.001,4.5447094440460205
17,0,17,1714,110.27465057373047,110.6898654767511,0.001,5.691145896911621
18,0,18,1693,99.3505630493164,109.8893313734708,0.001,5.264362096786499
19,0,19,1791,110.23377227783203,109.9017434365348,0.001,5.632038593292236
20,0,20,1506,108.76206970214844,109.87596551907453,0.001,3.7779669761657715
21,0,21,1797,133.41616821289062,110.43525402279285,0.001,3.378363847732544
22,0,22,1442,111.4909896850586,110.47042804442252,0.001,4.0903801918029785
23,0,23,1686,125.99042510986328,111.38836324268614,0.001,7.89802098274231
24,0,24,1265,115.9046401977539,111.48227977246465,0.001,3.9007861614227295
25,0,25,1132,111.85224151611328,111.49793638647493,0.001,5.109192371368408
26,0,26,1481,116.41241455078125,111.69699705190195,0.001,6.410036563873291
27,0,27,1571,110.11685180664062,111.6172495884875,0.001,5.622704267501831
28,0,28,1862,105.42178344726562,111.5070953562131,0.001,5.266846656799316
29,0,29,1470,113.48178100585938,111.57632063010732,0.001,5.718590259552002
30,0,30,175,122.60477447509766,111.85838186217795,0.001,4.444956064224243
31,0,31,1858,118.31281280517578,112.07476902398689,0.001,6.199742317199707
32,0,32,1682,108.7265396118164,111.96527026460456,0.001,4.96892237663269
33,0,33,1794,99.28282928466797,111.56930585520323,0.001,4.387764930725098
34,0,34,1915,122.68964385986328,111.81342706162776,0.001,6.865696668624878
35,0,35,1339,141.50364685058594,112.25292712051686,0.001,3.919970989227295
36,0,36,1090,111.69712829589844,112.24119732827182,0.001,4.1932597160339355
37,0,37,1777,115.01640319824219,112.32078386840409,0.001,6.625929355621338
38,0,38,1965,104.78801727294922,112.03718059908074,0.001,6.353396654129028
39,0,39,1128,107.80817413330078,111.92185078183041,0.001,7.098604202270508
40,0,40,1838,119.37018585205078,112.11603959637775,0.001,5.206846475601196
41,0,41,1577,116.92330932617188,112.23970841180176,0.001,5.041805982589722
42,0,42,1570,101.27377319335938,112.10492264940667,0.001,6.211857080459595
43,0,43,1123,103.4089584350586,111.94961910012212,0.001,4.9217939376831055
44,0,44,1097,116.02130889892578,111.99634858098197,0.001,3.8813765048980713
45,0,45,1262,114.6457290649414,112.0268037291581,0.001,5.35994815826416
46,0,46,1548,108.3423843383789,111.94205208922135,0.001,4.559545040130615
47,0,47,2070,113.78169250488281,111.99883324666548,0.001,5.63991379737854
48,0,48,1088,102.72649383544922,111.79290257960282,0.001,7.105905532836914
49,0,49,1602,100.70036315917969,111.71424840678372,0.001,3.4089560508728027
50,1,0,1821,115.80853271484375,115.80853271484375,0.001,4.457209348678589
51,1,1,1945,113.64555358886719,114.21307286902855,0.001,5.47923731803894
52,1,2,1779,127.14765930175781,119.69256294299325,0.001,8.71874213218689
53,1,3,1263,111.0022201538086,117.59529823911474,0.001,4.9605183601379395
54,1,4,2101,113.37875366210938,116.56096236145687,0.001,7.8729987144470215
55,1,5,2202,108.79812622070312,115.03410724646912,0.001,5.920320510864258
56,1,6,1692,115.06085205078125,115.03846630996415,0.001,6.376229524612427
57,1,7,1363,98.48725891113281,113.23404552285687,0.001,5.838958263397217
58,1,8,1460,108.38995361328125,112.8819920132248,0.001,4.607039451599121
59,1,9,2075,112.38259887695312,112.84882043260123,0.001,6.5042808055877686
60,1,10,2152,103.25662231445312,112.02728036300267,0.001,4.986783266067505
61,1,11,1484,119.46815490722656,112.62494229580176,0.001,5.285146951675415
62,1,12,2099,113.5669937133789,112.67580891755102,0.001,6.311945915222168
63,1,13,1105,100.65390014648438,112.24376016135254,0.001,3.839505910873413
64,1,14,2144,110.65614318847656,112.19126334138372,0.001,3.7906980514526367
65,1,15,2181,132.18263244628906,112.83957884795866,0.001,5.1606104373931885
66,1,16,1921,112.05001831054688,112.78947492299552,0.001,4.042559862136841
67,1,17,2000,104.38203430175781,112.54530665056973,0.001,3.610091209411621
68,1,18,1530,105.07994842529297,111.97815948757857,0.001,7.073838710784912
69,1,19,1925,138.56297302246094,112.67413800547206,0.001,4.180757522583008
70,1,20,2223,106.01802825927734,112.2123215458581,0.001,5.13656210899353
71,1,21,1706,113.81523895263672,112.29080171904958,0.001,7.732982873916626
72,1,22,1814,117.52745056152344,112.53280838831068,0.001,4.563122272491455
73,1,23,1951,117.81141662597656,112.76957259753112,0.001,5.313847780227661
74,1,24,1675,101.81900024414062,112.43381359203812,0.001,5.564986705780029
75,1,25,1751,118.09278869628906,112.60435677211147,0.001,4.300079345703125
76,1,26,2293,112.10363006591797,112.58366894198849,0.001,5.2856621742248535
77,1,27,2272,112.4052734375,112.57675594476501,0.001,5.976759433746338
78,1,28,1769,110.8636245727539,112.49170224384764,0.001,5.466501235961914
79,1,29,1439,112.32640838623047,112.48405388087386,0.001,8.175408840179443
80,1,30,1372,116.08363342285156,112.60576345890158,0.001,5.0012946128845215
81,1,31,1807,98.3277816772461,111.994757068445,0.001,6.8068153858184814
82,1,32,1099,110.18903350830078,111.91952513095616,0.001,6.48486590385437
83,1,33,2163,110.78785705566406,111.88445350240383,0.001,5.716576099395752
84,1,34,1092,99.32301330566406,111.39739531876091,0.001,7.823523759841919
85,1,35,1440,101.46723937988281,111.1231287283379,0.001,5.171565055847168
86,1,36,1346,116.67616271972656,111.31760691542323,0.001,7.743105411529541
87,1,37,2249,105.91778564453125,111.17166795888596,0.001,5.725641965866089
88,1,38,2341,112.88513946533203,111.23056919206091,0.001,8.05298399925232
89,1,39,1585,105.42543029785156,111.04129211137541,0.001,6.170763254165649
90,1,40,2034,108.59455871582031,110.96424124506643,0.001,7.47931432723999
91,1,41,1326,127.3497085571289,111.14650800537835,0.001,4.530500173568726
92,1,42,1457,110.67526245117188,111.13220282272226,0.001,5.746944427490234
93,1,43,1259,111.3769302368164,111.13607565924075,0.001,6.591218948364258
94,1,44,2174,102.34068298339844,110.88543548538115,0.001,5.709190130233765
95,1,45,2060,107.97888946533203,110.82257813915754,0.001,5.630417823791504
96,1,46,1737,106.56192016601562,110.70696259471582,0.001,6.868386507034302
97,1,47,1864,111.17585754394531,110.71162522205032,0.001,3.8512814044952393
98,1,48,1844,114.12745666503906,110.741322486613,0.001,4.17487096786499
99,1,49,2179,98.44544982910156,110.56120540145706,0.001,6.702926158905029
100,2,0,2071,112.81291198730469,112.81291198730469,0.001,7.370051145553589
101,2,1,178,119.03582763671875,116.417605713659,0.001,4.803283929824829
102,2,2,2095,109.48738861083984,113.38906917129114,0.001,7.491696834564209
103,2,3,2235,115.43960571289062,114.01938201210447,0.001,6.569974184036255
104,2,4,1636,102.85308074951172,111.38093572916152,0.001,6.799832582473755
105,2,5,1343,114.0147705078125,111.5731618269632,0.001,5.604081153869629
106,2,6,2192,102.60826110839844,111.02254708262798,0.001,3.766495943069458
107,2,7,1648,116.22384643554688,111.53619853118136,0.001,5.50458025932312
108,2,8,1735,113.10242462158203,111.63400956068996,0.001,4.086379289627075
109,2,9,1393,112.46218872070312,111.72974237526073,0.001,4.808948993682861
110,2,10,1109,101.36316680908203,110.39412864099461,0.001,7.1859331130981445
111,2,11,1896,106.28764343261719,110.02279475603751,0.001,6.288679122924805
112,2,12,2464,98.62584686279297,109.53934671082152,0.001,3.8799405097961426
113,2,13,2328,111.42184448242188,109.65100971593166,0.001,6.493987560272217
114,2,14,1554,110.8673324584961,109.69732158604604,0.001,3.9701507091522217
115,2,15,1516,111.47819519042969,109.82675304590843,0.001,5.314124345779419
116,2,16,2298,111.58517456054688,109.88454170943535,0.001,5.191892147064209
117,2,17,2398,103.66073608398438,109.35249547121587,0.001,6.107960224151611
118,2,18,1342,121.52420043945312,110.07949454349973,0.001,6.4079201221466064
119,2,19,1264,116.7027359008789,110.26948855096373,0.001,5.229039430618286
120,2,20,1174,112.43269348144531,110.39055742040672,0.001,5.269331455230713
121,2,21,2482,115.23655700683594,110.72902913172167,0.001,8.384315013885498
122,2,22,2401,111.42715454101562,110.76393011852473,0.001,5.33125901222229
123,2,23,1394,102.48738861083984,110.37503447735135,0.001,5.285077333450317
124,2,24,1909,111.50045776367188,110.44046557885343,0.001,6.931875467300415
125,2,25,1596,110.45330810546875,110.44085026531225,0.001,5.065246343612671
126,2,26,2172,95.17666625976562,109.80244763934552,0.001,7.514971971511841
127,2,27,2067,115.33068084716797,109.96387569654866,0.001,4.837858438491821
128,2,28,1914,93.47836303710938,109.65644808513056,0.001,3.6258695125579834
129,2,29,2460,110.85498046875,109.67837693077806,0.001,4.8169519901275635
130,2,30,2050,106.86227416992188,109.6044154049767,0.001,5.041349411010742
131,2,31,2055,119.12657165527344,110.05755792788126,0.001,5.915861129760742
132,2,32,1126,115.13490295410156,110.28880258045928,0.001,8.795768976211548
133,2,33,1274,115.79496765136719,110.46665604717464,0.001,5.353243827819824
134,2,34,2140,123.81315612792969,110.66414279187497,0.001,6.186871767044067
135,2,35,2513,101.0273208618164,110.51820330682875,0.001,3.7658333778381348
136,2,36,1580,104.5894775390625,110.38608829608926,0.001,4.2644453048706055
137,2,37,2543,103.18953704833984,110.16657211581735,0.001,7.403699159622192
138,2,38,2229,103.38287353515625,110.04191712699385,0.001,4.6756086349487305
139,2,39,190,111.12635040283203,110.08425643964486,0.001,6.885292053222656
140,2,40,2425,105.3945083618164,109.9533733197427,0.001,6.466616153717041
141,2,41,1120,95.7291030883789,109.68948164460942,0.001,4.604997634887695
142,2,42,2392,113.62544250488281,109.76558627120691,0.001,6.56041955947876
143,2,43,1586,104.13111114501953,109.57011367939594,0.001,6.144379138946533
144,2,44,1122,109.44368743896484,109.5677884017411,0.001,6.050901651382446
145,2,45,2494,109.98391723632812,109.57799370462567,0.001,6.711389541625977
146,2,46,2066,107.15354919433594,109.50103312608925,0.001,5.783331632614136
147,2,47,1081,104.21011352539062,109.37712941893783,0.001,8.156221389770508
148,2,48,1310,106.61521911621094,109.293202712725,0.001,6.339655637741089
149,2,49,1155,119.51297760009766,109.40422882855069,0.001,5.435399293899536
150,3,0,2340,122.78506469726562,122.78506469726562,0.001,5.174468040466309
151,3,1,2013,122.32160949707031,122.63499178604839,0.001,3.826141595840454
152,3,2,2216,123.04757690429688,122.72904053916523,0.001,5.708085775375366
153,3,3,2073,118.44772338867188,121.8891845520385,0.001,4.584223747253418
154,3,4,1802,125.02611541748047,122.8283160613435,0.001,5.0239951610565186
155,3,5,1441,113.42159271240234,121.62691576536879,0.001,5.577045202255249
156,3,6,1365,126.40052795410156,122.15817961699634,0.001,3.754568576812744
157,3,7,1434,113.72142791748047,120.60862701631532,0.001,4.917296886444092
158,3,8,2294,119.81813049316406,120.54491339789496,0.001,5.876118183135986
159,3,9,1463,104.77544403076172,119.4783029527625,0.001,3.7217001914978027
160,3,10,2547,101.28706359863281,116.92082703980905,0.001,4.555588483810425
161,3,11,1918,104.4234848022461,114.94903604795688,0.001,8.15684461593628
162,3,12,1482,120.99063110351562,115.26678645898805,0.001,3.5724916458129883
163,3,13,2008,137.8634796142578,116.29415369039496,0.001,3.1574325561523438
164,3,14,1772,108.81185913085938,115.34912835712584,0.001,7.0959765911102295
165,3,15,2243,124.02826690673828,116.31079852440577,0.001,5.496138334274292
166,3,16,2278,104.62455749511719,115.40316322916118,0.001,4.448218584060669
167,3,17,250,98.01744842529297,114.7904807849896,0.001,5.492573261260986
168,3,18,1793,108.42499542236328,114.22703130435838,0.001,6.07726263999939
169,3,19,1699,121.45697784423828,114.55052609681562,0.001,4.785236597061157
170,3,20,2197,109.35569763183594,114.23877684130623,0.001,7.114983558654785
171,3,21,28,118.45294189453125,114.35604416776273,0.001,3.7792856693267822
172,3,22,1302,103.39683532714844,113.6080267068138,0.001,7.193633556365967
173,3,23,2432,112.5504379272461,113.58088483900521,0.001,3.995713233947754
174,3,24,2564,96.87299346923828,112.74922224127634,0.001,4.256949424743652
175,3,25,2619,111.160888671875,112.6982983704912,0.001,5.795855283737183
176,3,26,2448,102.64934539794922,112.08511959592933,0.001,6.526724576950073
177,3,27,1617,109.42976379394531,111.93653871609341,0.001,6.749001502990723
178,3,28,2166,113.33460998535156,111.97842146817939,0.001,6.413079023361206
179,3,29,2051,112.92639923095703,112.01699673270456,0.001,5.145110368728638
180,3,30,2117,111.9533920288086,112.0145813991737,0.001,6.936932802200317
181,3,31,2387,110.9751968383789,111.98642611604608,0.001,4.648614406585693
182,3,32,1575,110.15133666992188,111.91798355096331,0.001,5.631717920303345
183,3,33,2608,95.95000457763672,111.16438283771492,0.001,8.18241572380066
184,3,34,2668,121.59495544433594,111.51827273160895,0.001,5.06865930557251
185,3,35,1676,107.69859313964844,111.35358033750978,0.001,7.705935955047607
186,3,36,1370,100.57506561279297,111.01610577572927,0.001,5.056357383728027
187,3,37,2548,102.8127212524414,110.77261528697387,0.001,5.566176652908325
188,3,38,1495,120.44316864013672,111.05713630749845,0.001,6.661715030670166
189,3,39,1453,109.55541229248047,111.03788452281391,0.001,4.376099586486816
190,3,40,1089,111.8204345703125,111.06688969898401,0.001,8.049538612365723
191,3,41,1514,114.31685638427734,111.10908022905542,0.001,4.652501583099365
192,3,42,1098,122.0839614868164,111.3223922190952,0.001,4.972144603729248
193,3,43,1306,96.89517974853516,110.82358041461298,0.001,8.572641611099243
194,3,44,2672,113.1707534790039,110.9027047122938,0.001,5.751119613647461
195,3,45,2476,119.49884033203125,111.00476445942861,0.001,5.867289781570435
196,3,46,2455,114.12016296386719,111.04197241833769,0.001,3.9518020153045654
197,3,47,1361,102.71659851074219,110.94588591864941,0.001,3.4418482780456543
198,3,48,1766,108.11104583740234,110.92272315913337,0.001,3.9623448848724365
199,3,49,2864,115.1492919921875,110.99485252456296,0.001,5.70966362953186
200,4,0,1700,113.50646209716797,113.50646209716797,0.001,4.356446027755737
201,4,1,1690,102.3673324584961,109.1717781653771,0.001,4.413594722747803
202,4,2,1383,112.66217041015625,110.4642029330336,0.001,6.55581259727478
203,4,3,1762,113.5262451171875,111.49731336125659,0.001,4.998604774475098
204,4,4,1576,123.52841186523438,113.14335429901561,0.001,4.292759418487549
205,4,5,1764,111.882080078125,112.78508207560294,0.001,6.19233250617981
206,4,6,2452,111.8292007446289,112.619856629116,0.001,5.238988876342773
207,4,7,2270,107.04486083984375,111.56607704698533,0.001,7.895700931549072
208,4,8,2147,102.81602478027344,110.1804095360881,0.001,5.79354190826416
209,4,9,2673,103.77188110351562,109.49467682519371,0.001,6.8473241329193115
210,4,10,2758,112.90762329101562,109.81874593139577,0.001,5.24957537651062
211,4,11,32,105.69338989257812,109.34583214933569,0.001,6.523733139038086
212,4,12,1153,107.54256439208984,109.1620168524027,0.001,7.969336032867432
213,4,13,1250,102.22068786621094,108.92284656157626,0.001,3.8442273139953613
214,4,14,2911,101.83812713623047,108.70123869231655,0.001,4.942001819610596
215,4,15,2709,114.16502380371094,108.8776181377387,0.001,4.5362443923950195
216,4,16,1649,97.3411636352539,108.13483829631969,0.001,4.1352105140686035
217,4,17,2443,98.36322021484375,107.54946989716144,0.001,5.515776872634888
218,4,18,2720,123.46057891845703,107.96159901366458,0.001,4.560350179672241
219,4,19,367,136.92884826660156,109.1152852634427,0.001,4.58557391166687
220,4,20,2706,112.4688491821289,109.19882801912412,0.001,3.6779651641845703
221,4,21,272,117.61454010009766,109.51918367894388,0.001,6.667889356613159
222,4,22,2251,120.23098754882812,109.91845235615023,0.001,5.033767938613892
223,4,23,2660,122.10506439208984,110.67961762321585,0.001,6.961649179458618
224,4,24,2595,148.56613159179688,111.5165636310554,0.001,4.140800714492798
225,4,25,2552,116.61541748046875,111.7421732568968,0.001,4.980586767196655
226,4,26,2406,110.27870178222656,111.65914295513657,0.001,7.834170579910278
227,4,27,2596,119.1536865234375,111.87798985809144,0.001,4.863955020904541
228,4,28,1473,106.85399627685547,111.75322365819216,0.001,4.52757716178894
229,4,29,1503,105.51583862304688,111.59355797214248,0.001,6.476975917816162
230,4,30,1817,103.82951354980469,111.45699090965266,0.001,3.799328088760376
231,4,31,344,115.69304656982422,111.53287234558543,0.001,3.4717342853546143
232,4,32,2537,110.81415557861328,111.50632781985499,0.001,6.842330694198608
233,4,33,2669,110.12035369873047,111.48257995788741,0.001,4.090648651123047
234,4,34,342,104.94512176513672,111.18259901397218,0.001,5.369006395339966
235,4,35,2927,90.37126159667969,110.89557954325066,0.001,5.920961380004883
236,4,36,2610,129.60977172851562,111.18930389971511,0.001,4.282117128372192
237,4,37,2603,103.92626190185547,110.89151457479055,0.001,6.154155015945435
238,4,38,2221,108.27193450927734,110.80992915436369,0.001,6.821652412414551
239,4,39,2767,100.17113494873047,110.49021883739691,0.001,4.99588942527771
240,4,40,400,114.32313537597656,110.56156523733654,0.001,6.288938999176025
241,4,41,446,102.22178649902344,110.32764004016511,0.001,4.9966185092926025
242,4,42,273,116.62608337402344,110.50230689594389,0.001,4.635004758834839
243,4,43,1839,122.56896209716797,110.65511878051721,0.001,4.996392250061035
244,4,44,350,117.33304595947266,110.83275570037382,0.001,5.7123517990112305
245,4,45,2241,103.32770538330078,110.57427773694998,0.001,5.7745280265808105
246,4,46,468,102.61173248291016,110.31484588820605,0.001,8.116008043289185
247,4,47,408,111.48274230957031,110.33487749483488,0.001,5.02721381187439
248,4,48,2593,104.41068267822266,110.1917010404961,0.001,6.910982608795166
249,4,49,2204,98.6483154296875,109.84377928819887,0.001,6.305761337280273
