global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr,seconds
0,0,0,1127,99.9992904663086,99.9992904663086,0.001,4.0609636306762695
1,0,1,1879,99.9986801147461,99.99898599315769,0.001,5.10837721824646
2,0,2,1493,99.99832153320312,99.99866938025849,0.001,7.593143701553345
3,0,3,1360,99.99862670898438,99.99866329171107,0.001,3.252758026123047
4,0,4,1717,99.99856567382812,99.99865091606247,0.001,4.656824111938477
5,0,5,1397,99.9867935180664,99.99551298369813,0.001,6.3288209438323975
6,0,6,1399,99.99755859375,99.99593273202072,0.001,6.4906110763549805
7,0,7,1615,99.99722290039062,99.99610297931754,0.001,6.6426966190338135
8,0,8,1828,99.99693298339844,99.99623308965293,0.001,5.896727085113525
9,0,9,1823,99.99625396728516,99.99623592290905,0.001,8.300066471099854
10,0,10,1324,99.9963607788086,99.99625034742685,0.001,5.615787029266357
11,0,11,1373,99.99678039550781,99.99628465261556,0.001,5.950169563293457
12,0,12,1812,99.9963607788086,99.99629219425105,0.001,6.70805811882019
13,0,13,1334,99.99690246582031,99.99631268858234,0.001,3.7809267044067383
14,0,14,1569,99.99606323242188,99.99629694020554,0.001,6.558644771575928
15,0,15,1845,99.99655151367188,99.99630439970741,0.001,3.6098363399505615
16,0,16,1355,99.99603271484375,99.99628791494551,0.001,4.211990118026733
17,0,17,1714,99.9654769897461,99.99456618941836,0.001,6.024294853210449
18,0,18,1693,99.99440002441406,99.99455433651077,0.001,6.058951377868652
19,0,19,1791,99.99486541748047,99.99456563554783,0.001,4.509451389312744
20,0,20,1506,99.99549102783203,99.99458679491438,0.001,5.268608093261719
21,0,21,1797,99.99683380126953,99.99464068887212,0.001,3.6838626861572266
22,0,22,1442,99.99336242675781,99.99459772765891,0.001,4.383564710617065
23,0,23,1686,99.99420928955078,99.99457457065941,0.001,7.510215997695923
24,0,24,1265,99.99417114257812,99.99456611488361,0.001,3.7879250049591064
25,0,25,1132,99.99323272705078,99.99450968786503,0.001,4.593289136886597
26,0,26,1481,99.99417114257812,99.9944958586375,0.001,6.442378997802734
27,0,27,1571,99.99254608154297,99.99439670400157,0.001,5.799664258956909
28,0,28,1862,99.99304962158203,99.99437257115612,0.001,3.362203598022461
29,0,29,1470,99.9925765991211,99.99430956927968,0.001,6.655368089675903
30,0,30,175,99.9930419921875,99.9942769222779,0.001,4.626599550247192
31,0,31,1858,99.99268341064453,99.9942236739526,0.001,4.718308448791504
32,0,32,1682,99.9924087524414,99.99416818845138,0.001,7.323453664779663
33,0,33,1794,99.99182891845703,99.99409444250638,0.001,4.652154207229614
34,0,34,1915,99.9925765991211,99.994060802773,0.001,5.425868272781372
35,0,35,1339,99.99343872070312,99.99405150538723,0.001,5.204991817474365
36,0,36,1090,99.99044036865234,99.99397456173396,0.001,4.395678997039795
37,0,37,1777,99.99072265625,99.99388101913915,0.001,5.258335828781128
38,0,38,1965,99.98876190185547,99.99368652564327,0.001,6.843008518218994
39,0,39,1128,99.98992919921875,99.99358330238985,0.001,5.874451160430908
40,0,40,1838,99.9888687133789,99.99345926670426,0.001,7.287689924240112
41,0,41,1577,99.9888687133789,99.99334175303113,0.001,5.297302961349487
42,0,42,1570,99.98944091796875,99.99329420034687,0.001,5.0885162353515625
43,0,43,1123,99.99008178710938,99.99323946936788,0.001,6.005511283874512
44,0,44,1097,99.98956298828125,99.99319687611475,0.001,3.594998836517334
45,0,45,1262,99.98761749267578,99.99313221553453,0.001,3.8114049434661865
46,0,46,1548,99.98729705810547,99.99299825954787,0.001,5.800700426101685
47,0,47,2070,99.98750305175781,99.99282999525225,0.001,5.674593210220337
48,0,48,1088,99.9859619140625,99.99267622830733,0.001,6.873793601989746
49,0,49,1602,99.98628997802734,99.9926335521592,0.001,3.8705592155456543
50,1,0,1821,99.97554779052734,99.97554779052734,0.001,5.681974649429321
51,1,1,1945,99.9852523803711,99.98270634915669,0.001,5.507386684417725
52,1,2,1779,99.98292541503906,99.98279908639665,0.001,8.636086463928223
53,1,3,1263,99.98379516601562,99.98303971426165,0.001,4.976958274841309
54,1,4,2101,99.98140716552734,99.9826422538734,0.001,6.299153566360474
55,1,5,2202,99.9828109741211,99.98267553844363,0.001,5.880023241043091
56,1,6,1692,99.98011779785156,99.98225805562889,0.001,4.880975246429443
57,1,7,1363,99.98143005371094,99.98217655947799,0.001,6.182507753372192
58,1,8,1460,99.98161315917969,99.98213511802277,0.001,3.9460737705230713
59,1,9,2075,99.98326110839844,99.98221080827663,0.001,3.835646152496338
60,1,10,2152,99.98087310791016,99.982097859575,0.001,5.3425445556640625
61,1,11,1484,99.97760009765625,99.98173217553803,0.001,4.359644174575806
62,1,12,2099,99.98178100585938,99.9817348388402,0.001,3.8422980308532715
63,1,13,1105,99.97769927978516,99.98158838143151,0.001,3.3368260860443115
64,1,14,2144,99.97466278076172,99.98135682847865,0.001,5.097856044769287
65,1,15,2181,99.9762954711914,99.98119120345238,0.001,2.7773256301879883
66,1,16,1921,99.97679901123047,99.9809095789632,0.001,3.3355841636657715
67,1,17,2000,99.97180938720703,99.98064269955793,0.001,2.862069845199585
68,1,18,1530,99.96842193603516,99.97970644801569,0.001,6.11011815071106
69,1,19,1925,99.9731674194336,99.97953384057995,0.001,2.821211576461792
70,1,20,2223,99.96834564208984,99.97875709503697,0.001,4.573483467102051
71,1,21,1706,99.96873474121094,99.97827162729268,0.001,6.601581335067749
72,1,22,1814,99.9686279296875,99.97782195154839,0.001,4.277796983718872
73,1,23,1951,99.96390533447266,99.97719942750982,0.001,3.6739025115966797
74,1,24,1675,99.96540832519531,99.97683674194745,0.001,4.237996339797974
75,1,25,1751,99.96257781982422,99.97640434593852,0.001,4.872998237609863
76,1,26,2293,99.95635986328125,99.97557049764713,0.001,3.8780746459960938
77,1,27,2272,99.96014404296875,99.97496830061779,0.001,3.927630662918091
78,1,28,1769,99.9552001953125,99.97397944410085,0.001,6.6146321296691895
79,1,29,1439,99.95101928710938,99.97291505392556,0.001,4.798598289489746
80,1,30,1372,99.95533752441406,99.9723159593301,0.001,3.932462215423584
81,1,31,1807,99.95622253417969,99.97170766613306,0.001,6.967959403991699
82,1,32,1099,99.93926239013672,99.97033871538105,0.001,4.816719055175781
83,1,33,2163,99.9546890258789,99.96985097725339,0.001,4.5616326332092285
84,1,34,1092,99.93572998046875,99.96855321859165,0.001,6.328949451446533
85,1,35,1440,99.93517303466797,99.9676237490606,0.001,4.207379102706909
86,1,36,1346,99.93275451660156,99.9664011481751,0.001,5.075555086135864
87,1,37,2249,99.93998718261719,99.9657034536651,0.001,5.5986597537994385
88,1,38,2341,99.92705535888672,99.9643584643913,0.001,4.870380401611328
89,1,39,1585,99.9243392944336,99.96304887241341,0.001,6.249682188034058
90,1,40,2034,99.92494201660156,99.96183762237948,0.001,5.221179723739624
91,1,41,1326,99.92855072021484,99.96146310848324,0.001,3.0039212703704834
92,1,42,1457,99.90664672851562,99.95978799933668,0.001,4.734911918640137
93,1,43,1259,99.92089080810547,99.95916515296183,0.001,5.087131023406982
94,1,44,2174,99.90644073486328,99.95765751563698,0.001,4.774158239364624
95,1,45,2060,99.92301177978516,99.95698023057521,0.001,4.5277180671691895
96,1,46,1737,99.89835357666016,99.95537162424655,0.001,6.4976701736450195
