epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,110.00942993164062,122.38153076171875,123.4522705078125,107.86144256591797,104.0506591796875,96.96932983398438,-40.662139892578125,-40.506378173828125,-35.25720977783203,-33.851661682128906,-30.792436599731445,105.63778686523438,118.31883239746094,118.38758850097656,103.68840789794922,100.62944030761719,93.35291290283203,-37.50792694091797,-36.676795959472656,-32.10884094238281,-31.231311798095703,-27.953697204589844
1,98.54943084716797,109.70148468017578,108.81121826171875,96.20646667480469,94.02003479003906,87.1641616821289,-31.954368591308594,-30.52843475341797,-26.806415557861328,-26.515012741088867,-23.43588638305664,90.50536346435547,100.29558563232422,99.33372497558594,88.88504791259766,87.14461517333984,81.56916046142578,-24.834733963012695,-23.264528274536133,-20.896547317504883,-20.994787216186523,-18.64497184753418
2,87.270751953125,95.22759246826172,94.96662139892578,85.79350280761719,83.86363983154297,79.4269790649414,-20.259309768676758,-19.2424259185791,-17.689180374145508,-17.679262161254883,-16.30496597290039,86.7127685546875,93.65406799316406,94.27069091796875,85.64474487304688,83.4229507446289,79.73585510253906,-18.689136505126953,-18.130977630615234,-17.268653869628906,-17.120222091674805,-16.325496673583984
3,86.4390640258789,93.12018585205078,93.84246826171875,85.39519500732422,83.18109130859375,79.48802947998047,-18.71250343322754,-18.322906494140625,-17.47092056274414,-17.272985458374023,-16.592227935791016,86.69773864746094,93.4117202758789,94.24800872802734,85.66436767578125,83.41732025146484,79.73309326171875,-18.099735260009766,-17.867382049560547,-17.170347213745117,-16.940099716186523,-16.329288482666016
4,86.0943603515625,92.54680633544922,93.3642807006836,84.91381072998047,82.6922378540039,79.01766967773438,-18.122604370117188,-17.960166931152344,-17.125028610229492,-16.861513137817383,-16.28174591064453,86.72364807128906,93.41433715820312,94.26951599121094,85.67774963378906,83.43547821044922,79.73438262939453,-17.912235260009766,-17.788562774658203,-17.142623901367188,-16.893049240112305,-16.327497482299805
5,86.07433319091797,92.57412719726562,93.40581512451172,84.97766876220703,82.75154113769531,79.05902099609375,-17.799087524414062,-17.70960235595703,-16.945653915405273,-16.671064376831055,-16.109516143798828,86.71601867675781,93.41947937011719,94.26349639892578,85.66798400878906,83.43070220947266,79.72312927246094,-17.892269134521484,-17.80467414855957,-17.161924362182617,-16.9025936126709,-16.34518814086914
6,83.29772186279297,89.422119140625,90.19912719726562,82.2647933959961,80.18409729003906,76.75018310546875,-17.02406120300293,-16.968046188354492,-16.27776336669922,-16.031160354614258,-15.559288024902344,49.566864013671875,51.76345443725586,52.00640106201172,49.101539611816406,48.44394302368164,47.522430419921875,-7.099469184875488,-7.051074028015137,-6.995650768280029,-6.968253135681152,-6.899442195892334
7,30.513080596923828,30.881105422973633,30.92271614074707,30.188945770263672,30.143558502197266,30.461368560791016,-2.1957688331604004,-2.1764044761657715,-2.29762601852417,-2.345909357070923,-2.466423511505127,21.51939582824707,21.967866897583008,21.943614959716797,21.067386627197266,20.98707389831543,21.462757110595703,-0.5593018531799316,-0.5569281578063965,-0.5916662812232971,-0.6157280206680298,-0.7207084894180298
8,19.316333770751953,19.393613815307617,19.397436141967773,18.98636245727539,19.003395080566406,19.768314361572266,-0.5163503885269165,-0.5177502632141113,-0.5493170022964478,-0.5652928948402405,-0.6561440229415894,15.59101676940918,16.09290885925293,16.03754425048828,15.5242919921875,15.477368354797363,16.052536010742188,-0.01062710303813219,-0.012251666747033596,-0.02703583426773548,-0.03744197264313698,-0.1023329645395279
9,15.626851081848145,15.868146896362305,15.843050003051758,15.471261978149414,15.439366340637207,15.855278968811035,-0.19169388711452484,-0.19283591210842133,-0.19162867963314056,-0.19300948083400726,-0.22232672572135925,12.65003490447998,12.792295455932617,12.752735137939453,12.811280250549316,12.91183853149414,13.576338768005371,0.1856536865234375,0.18330758810043335,0.1555701196193695,0.14161184430122375,0.09522503614425659
10,13.952250480651855,14.126919746398926,14.083354949951172,13.828437805175781,13.821144104003906,14.036943435668945,-0.042705174535512924,-0.041727494448423386,-0.047787316143512726,-0.051193032413721085,-0.06300181895494461,13.384458541870117,13.663427352905273,13.652753829956055,13.403560638427734,13.434773445129395,13.912202835083008,0.04483744502067566,0.04178515449166298,0.02913447469472885,0.017393890768289566,-0.022789813578128815
11,13.824640274047852,14.022826194763184,13.964262008666992,13.72752571105957,13.727622985839844,13.88316535949707,-0.08612444996833801,-0.08631052821874619,-0.085166335105896,-0.0861244797706604,-0.09034916013479233,14.02482795715332,15.006610870361328,14.930604934692383,14.24466323852539,14.091375350952148,14.00710678100586,0.0897747129201889,0.09140369296073914,0.08493886142969131,0.07804368436336517,0.05729217454791069
12,12.508879661560059,12.738237380981445,12.672916412353516,12.54041862487793,12.574542999267578,12.77175521850586,0.06729807704687119,0.06687889993190765,0.06697647273540497,0.0647224560379982,0.0572395846247673,11.55501937866211,12.087194442749023,11.999931335449219,11.842374801635742,11.915091514587402,12.259570121765137,0.11313274502754211,0.113457590341568,0.09664873033761978,0.08390399813652039,0.04909772798418999
13,11.787336349487305,12.035968780517578,11.988357543945312,11.824811935424805,11.873688697814941,12.111352920532227,0.08165953308343887,0.08070873469114304,0.08377070724964142,0.08171501010656357,0.0726417675614357,14.579693794250488,15.344743728637695,15.320528030395508,14.486367225646973,14.408178329467773,14.597434997558594,-0.5071392059326172,-0.5049002766609192,-0.4660143256187439,-0.4655534029006958,-0.4896276891231537
