epoch,loss,mape_avg_metric,mape_p50_metric,mape_p90_metric,mape_p95_metric,mape_p99_metric,r2_avg_metric,r2_p50_metric,r2_p90_metric,r2_p95_metric,r2_p99_metric,val_loss,val_mape_avg_metric,val_mape_p50_metric,val_mape_p90_metric,val_mape_p95_metric,val_mape_p99_metric,val_r2_avg_metric,val_r2_p50_metric,val_r2_p90_metric,val_r2_p95_metric,val_r2_p99_metric
0,89.1980972290039,78.16356658935547,83.42192840576172,93.46183776855469,94.21820068359375,97.59310150146484,-7.828773498535156,-6.523905277252197,-11.38895320892334,-11.890705108642578,-12.164474487304688,64.4769515991211,33.59968185424805,45.78473663330078,77.21172332763672,79.89713287353516,90.0730972290039,-1.2132034301757812,-1.77790367603302,-7.38136100769043,-8.182839393615723,-10.018465042114258
1,43.24053192138672,28.265899658203125,31.96666717529297,44.598018646240234,48.734256744384766,67.42193603515625,-0.4625352919101715,-0.4050142467021942,-2.8110105991363525,-3.439450263977051,-6.07459020614624,30.232868194580078,26.45707130432129,30.545791625976562,27.603925704956055,28.637685775756836,44.55500411987305,-0.364089697599411,-0.3353871703147888,-0.4522172808647156,-0.6056395173072815,-2.3233771324157715
2,27.375225067138672,26.07059097290039,30.00478172302246,27.335657119750977,27.803495407104492,32.77178955078125,-0.3667781949043274,-0.3134865164756775,-0.39666444063186646,-0.40983694791793823,-0.8521729111671448,27.266803741455078,26.463699340820312,30.590011596679688,27.59410285949707,28.02430534362793,30.04769515991211,-0.41431674361228943,-0.36069029569625854,-0.443683385848999,-0.4502106308937073,-0.48336467146873474
3,26.738269805908203,26.06838607788086,30.116342544555664,27.219778060913086,27.689926147460938,29.643667221069336,-0.3744242489337921,-0.31204450130462646,-0.4177829921245575,-0.42297589778900146,-0.41836240887641907,27.259937286376953,26.456480026245117,30.610172271728516,27.605619430541992,28.034852981567383,29.977060317993164,-0.41199204325675964,-0.367142915725708,-0.4533178508281708,-0.4641079306602478,-0.4505203664302826
4,26.693084716796875,25.974882125854492,29.945369720458984,27.110239028930664,27.557321548461914,29.467132568359375,-0.38518041372299194,-0.32593443989753723,-0.4280993342399597,-0.43223053216934204,-0.4173593521118164,27.297571182250977,26.413223266601562,30.54563331604004,27.610021591186523,28.045785903930664,29.98311996459961,-0.37732675671577454,-0.3349960148334503,-0.42072272300720215,-0.4321620464324951,-0.42352011799812317
5,26.763532638549805,26.021259307861328,29.883495330810547,27.2700252532959,27.777393341064453,29.858488082885742,-0.3736838102340698,-0.3170374035835266,-0.41760411858558655,-0.4225139319896698,-0.4096982777118683,27.260265350341797,26.408763885498047,30.545019149780273,27.59148406982422,28.02435302734375,29.97051239013672,-0.3842564821243286,-0.3310445547103882,-0.4376569986343384,-0.45094722509384155,-0.441435843706131
6,26.659379959106445,26.09564781188965,30.043537139892578,27.339017868041992,27.817659378051758,29.807403564453125,-0.37541964650154114,-0.3157743513584137,-0.415353000164032,-0.4194963872432709,-0.40549370646476746,27.251192092895508,26.427051544189453,30.561595916748047,27.60050392150879,28.031028747558594,29.974117279052734,-0.40051427483558655,-0.3488882780075073,-0.4498479962348938,-0.4611489772796631,-0.4475918412208557
7,25.967979431152344,25.26007843017578,29.54907989501953,26.31923484802246,26.781455993652344,28.735366821289062,-0.31407657265663147,-0.26933392882347107,-0.3599907457828522,-0.36797991394996643,-0.3646569550037384,23.156557083129883,22.57028579711914,27.276988983154297,23.512285232543945,23.923776626586914,25.874340057373047,-0.06812068819999695,-0.07441744953393936,-0.09283699840307236,-0.10466672480106354,-0.12766538560390472
8,19.536041259765625,18.549175262451172,23.085744857788086,19.693347930908203,20.2049617767334,22.40542984008789,0.15478789806365967,0.10079483687877655,0.1488136500120163,0.14365214109420776,0.1073051393032074,19.07221794128418,17.971668243408203,22.443309783935547,19.141307830810547,19.670780181884766,21.6314697265625,0.21181106567382812,0.1458074301481247,0.22081424295902252,0.21455323696136475,0.19622643291950226
9,17.64229965209961,16.607032775878906,21.213058471679688,17.804733276367188,18.303607940673828,20.33122444152832,0.2881389260292053,0.20793366432189941,0.29717037081718445,0.2926218509674072,0.2642914950847626,17.744985580444336,16.6748046875,21.16331672668457,17.94481086730957,18.425554275512695,20.407957077026367,0.22956310212612152,0.14865179359912872,0.24612215161323547,0.24475041031837463,0.22628436982631683
