global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr
0,0,0,1516,111.5050048828125,111.5050048828125,0.0010000000474974513
1,0,1,1105,100.65843963623047,107.89558410644531,0.0010000000474974513
2,0,2,1575,110.27372741699219,108.86444091796875,0.0010000000474974513
3,0,3,1128,107.80957794189453,108.56385040283203,0.0010000000474974513
4,0,4,1945,113.64784240722656,109.96348571777344,0.0010000000474974513
5,0,5,1896,106.31024932861328,109.34239196777344,0.0010000000474974513
6,0,6,1585,105.43489074707031,108.6234130859375,0.0010000000474974513
7,0,7,1902,99.43032836914062,107.49488067626953,0.0010000000474974513
8,0,8,1839,123.2787857055664,108.3487319946289,0.0010000000474974513
9,0,9,1923,116.30210876464844,109.1914291381836,0.0010000000474974513
10,0,10,2000,104.38752746582031,108.96804809570312,0.0010000000474974513
11,0,11,1181,120.59872436523438,109.99168395996094,0.0010000000474974513
12,0,12,1493,114.13443756103516,110.43707275390625,0.0010000000474974513
13,0,13,2008,137.9618377685547,111.3487777709961,0.0010000000474974513
14,0,14,1457,110.68746185302734,111.28719329833984,0.0010000000474974513
15,0,15,1602,100.70146179199219,111.0572509765625,0.0010000000474974513
16,0,16,1083,121.11170959472656,111.88504028320312,0.0010000000474974513
17,0,17,1900,136.8572540283203,112.63372039794922,0.0010000000474974513
18,0,18,1586,104.19153594970703,111.99018096923828,0.0010000000474974513
19,0,19,1441,113.55980682373047,112.03238677978516,0.0010000000474974513
20,0,20,2075,112.38687133789062,112.04562377929688,0.0010000000474974513
21,0,21,1686,125.99124145507812,112.9668197631836,0.0010000000474974513
22,0,22,1122,109.5205307006836,112.84699249267578,0.0010000000474974513
23,0,23,1548,108.3436508178711,112.6487808227539,0.0010000000474974513
24,0,24,1838,119.3718032836914,112.9383544921875,0.0010000000474974513
25,0,25,1846,108.75648498535156,112.76421356201172,0.0010000000474974513
26,0,26,1113,119.54779815673828,113.1237564086914,0.0010000000474974513
27,0,27,1326,127.36323547363281,113.3846435546875,0.0010000000474974513
28,0,28,1706,113.81758117675781,113.4008560180664,0.0010000000474974513
29,0,29,2066,107.2056884765625,113.10673522949219,0.0010000000474974513
30,0,30,1092,99.32828521728516,112.47784423828125,0.0010000000474974513
31,0,31,1797,133.416259765625,112.82000732421875,0.0010000000474974513
32,0,32,1845,118.51969146728516,112.90475463867188,0.0010000000474974513
33,0,33,2140,123.87646484375,113.06787109375,0.0010000000474974513
34,0,34,1523,133.05032348632812,113.37418365478516,0.0010000000474974513
35,0,35,1081,104.25959777832031,113.09008026123047,0.0010000000474974513
36,0,36,1368,129.30882263183594,113.4498519897461,0.0010000000474974513
37,0,37,1682,108.72669219970703,113.31071472167969,0.0010000000474974513
38,0,38,1440,101.47379302978516,112.97826385498047,0.0010000000474974513
39,0,39,1617,109.57553100585938,112.85700225830078,0.0010000000474974513
40,0,40,1615,117.4055404663086,112.97702026367188,0.0010000000474974513
41,0,41,2013,122.39593505859375,113.09441375732422,0.0010000000474974513
42,0,42,1812,105.23817443847656,112.8221664428711,0.0010000000474974513
43,0,43,1879,124.68358612060547,113.03948974609375,0.0010000000474974513
44,0,44,2070,113.78231811523438,113.0635986328125,0.0010000000474974513
45,0,45,1132,111.8516845703125,113.0343017578125,0.0010000000474974513
46,0,46,1339,141.5034942626953,113.35845184326172,0.0010000000474974513
47,0,47,2163,110.7936782836914,113.2979507446289,0.0010000000474974513
48,0,48,1098,122.38360595703125,113.44615936279297,0.0010000000474974513
49,0,49,1480,120.31107330322266,113.51817321777344,0.0010000000474974513
50,1,0,1117,121.26567840576172,121.26567840576172,0.0010000000474974513
51,1,1,1532,109.76066589355469,114.76028442382812,0.0010000000474974513
52,1,2,1482,121.13578796386719,115.82581329345703,0.0010000000474974513
53,1,3,1313,95.84687042236328,109.58869934082031,0.0010000000474974513
54,1,4,2099,113.56934356689453,110.18270874023438,0.0010000000474974513
55,1,5,1806,104.45600891113281,108.93753051757812,0.0010000000474974513
56,1,6,1764,112.12452697753906,109.51470947265625,0.0010000000474974513
57,1,7,1302,103.50623321533203,108.65814208984375,0.0010000000474974513
58,1,8,1616,125.38287353515625,110.40846252441406,0.0010000000474974513
59,1,9,2196,122.07550048828125,110.89898681640625,0.0010000000474974513
60,1,10,1828,116.23336029052734,111.52743530273438,0.0010000000474974513
61,1,11,2205,112.15889739990234,111.57847595214844,0.0010000000474974513
62,1,12,1087,107.58334350585938,111.2018814086914,0.0010000000474974513
63,1,13,1714,110.27274322509766,111.14093780517578,0.0010000000474974513
64,1,14,1088,102.72611999511719,110.62101745605469,0.0010000000474974513
65,1,15,1802,125.12500762939453,111.47859191894531,0.0010000000474974513
66,1,16,2098,112.7052230834961,111.52460479736328,0.0010000000474974513
67,1,17,2147,103.03196716308594,110.91971588134766,0.0010000000474974513
68,1,18,2050,106.91546630859375,110.77605438232422,0.0010000000474974513
69,1,19,1965,104.7864761352539,110.39051055908203,0.0010000000474974513
70,1,20,1814,117.53034973144531,110.71231079101562,0.0010000000474974513
71,1,21,1737,106.57015228271484,110.48043060302734,0.0010000000474974513
72,1,22,1262,114.6441879272461,110.56307220458984,0.0010000000474974513
73,1,23,1676,107.8685073852539,110.41818237304688,0.0010000000474974513
74,1,24,1344,99.20452880859375,109.99027252197266,0.0010000000474974513
75,1,25,2335,124.47754669189453,110.2576904296875,0.0010000000474974513
76,1,26,1126,115.18035125732422,110.4945297241211,0.0010000000474974513
77,1,27,2340,122.86785125732422,110.9150390625,0.0010000000474974513
78,1,28,1794,99.27971649169922,110.53070831298828,0.0010000000474974513
79,1,29,1503,105.90974426269531,110.43067932128906,0.0010000000474974513
80,1,30,1878,114.79611206054688,110.52964782714844,0.0010000000474974513
81,1,31,1699,121.61068725585938,110.77215576171875,0.0010000000474974513
82,1,32,1346,116.6797103881836,111.00160217285156,0.0010000000474974513
83,1,33,1909,111.52944946289062,111.0217514038086,0.0010000000474974513
84,1,34,1317,115.73834991455078,111.08599090576172,0.0010000000474974513
85,1,35,2071,112.82087707519531,111.12053680419922,0.0010000000474974513
86,1,36,1554,110.88812255859375,111.117431640625,0.0010000000474974513
87,1,37,1495,120.62973022460938,111.37511444091797,0.0010000000474974513
88,1,38,1118,110.42652130126953,111.35030364990234,0.0010000000474974513
89,1,39,1093,104.56257629394531,111.12481689453125,0.0010000000474974513
90,1,40,2325,114.53701782226562,111.2094955444336,0.0010000000474974513
91,1,41,2341,112.88996124267578,111.2635726928711,0.0010000000474974513
92,1,42,1769,110.86449432373047,111.25110626220703,0.0010000000474974513
93,1,43,1111,109.82464599609375,111.2188491821289,0.0010000000474974513
94,1,44,2398,103.68025970458984,110.99952697753906,0.0010000000474974513
95,1,45,1443,107.2691650390625,110.8936996459961,0.0010000000474974513
96,1,46,1766,108.30342102050781,110.87500762939453,0.0010000000474974513
97,1,47,1541,123.10003662109375,110.9865493774414,0.0010000000474974513
98,1,48,1399,112.05713653564453,111.0162124633789,0.0010000000474974513
99,1,49,2449,105.76873779296875,110.91087341308594,0.0010000000474974513
100,2,0,1484,119.46347045898438,119.46347045898438,0.0010000000474974513
101,2,1,1569,105.92401885986328,112.70499420166016,0.0010000000474974513
102,2,2,1938,105.3388671875,111.33806610107422,0.0010000000474974513
103,2,3,2229,103.42961120605469,109.75894165039062,0.0010000000474974513
104,2,4,1675,101.816650390625,108.2823715209961,0.0010000000474974513
105,2,5,1373,98.00494384765625,106.52140045166016,0.0010000000474974513
106,2,6,2347,121.65090942382812,109.22650909423828,0.0010000000474974513
107,2,7,1123,103.40264892578125,108.5676498413086,0.0010000000474974513
108,2,8,2080,111.28273010253906,109.04467010498047,0.0010000000474974513
109,2,9,1700,113.70426177978516,109.4631118774414,0.0010000000474974513
110,2,10,2007,111.00008392333984,109.6259536743164,0.0010000000474974513
111,2,11,2270,107.29259490966797,109.33291625976562,0.0010000000474974513
112,2,12,28,118.61474609375,109.72538757324219,0.0010000000474974513
113,2,13,1568,115.58838653564453,110.20258331298828,0.0010000000474974513
114,2,14,1153,107.78665924072266,109.96283721923828,0.0010000000474974513
115,2,15,177,110.01488494873047,109.96636962890625,0.0010000000474974513
116,2,16,1848,102.75210571289062,109.35797882080078,0.0010000000474974513
