global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr
0,0,0,1516,99.99763488769531,99.99763488769531,0.0010000000474974513
1,0,1,1105,99.99915313720703,99.99813842773438,0.0010000000474974513
2,0,2,1575,99.99494171142578,99.99683380126953,0.0010000000474974513
3,0,3,1128,99.99454498291016,99.99618530273438,0.0010000000474974513
4,0,4,1945,99.99471282958984,99.99578094482422,0.0010000000474974513
5,0,5,1896,99.99564361572266,99.99575805664062,0.0010000000474974513
6,0,6,1585,99.99739074707031,99.99605560302734,0.0010000000474974513
7,0,7,1902,99.99195098876953,99.99556732177734,0.0010000000474974513
8,0,8,1839,99.9891128540039,99.99520874023438,0.0010000000474974513
9,0,9,1923,99.9839859008789,99.9940185546875,0.0010000000474974513
10,0,10,2000,99.97872924804688,99.9933090209961,0.0010000000474974513
11,0,11,1181,99.97164916992188,99.99140167236328,0.0010000000474974513
12,0,12,1493,99.97232055664062,99.9893569946289,0.0010000000474974513
13,0,13,2008,99.96823120117188,99.98865509033203,0.0010000000474974513
14,0,14,1457,99.95823669433594,99.9858169555664,0.0010000000474974513
15,0,15,1602,99.96510314941406,99.98540496826172,0.0010000000474974513
16,0,16,1083,99.96046447753906,99.98336029052734,0.0010000000474974513
17,0,17,1900,99.96112823486328,99.98270416259766,0.0010000000474974513
18,0,18,1586,99.95182037353516,99.98033142089844,0.0010000000474974513
19,0,19,1441,99.93424987792969,99.9791030883789,0.0010000000474974513
20,0,20,2075,99.95394134521484,99.97815704345703,0.0010000000474974513
21,0,21,1686,99.94098663330078,99.9756851196289,0.0010000000474974513
22,0,22,1122,99.945556640625,99.9746322631836,0.0010000000474974513
23,0,23,1548,99.93167877197266,99.97274780273438,0.0010000000474974513
24,0,24,1838,99.9234619140625,99.97061157226562,0.0010000000474974513
25,0,25,1846,99.91890716552734,99.96844482421875,0.0010000000474974513
26,0,26,1113,99.89027404785156,99.96430969238281,0.0010000000474974513
27,0,27,1326,99.91911315917969,99.9634780883789,0.0010000000474974513
